site,reference_median,candidate_median,reference_sigma,candidate_sigma,median_shift_sigma,sigma_ratio,candidate_seed_null_sigma,reference_seed_null_sigma
A,0.0005800460935693891,0.0005813700656801188,3.709611349271916e-05,3.6914317280445954e-05,0.035690318636467544,0.9950993191696783,0.08730939340984832,0.015372170320553448
_b_0,0.12026872257822085,-0.0691312140265068,0.08933724580071492,0.12763067430476863,-2.1200556935370845,1.4286390089691714,2.736184244539081,0.0023310099528804197
a_rs_0,5.195772745589218,5.1937089467633,0.014878833257248553,0.014515082388568435,-0.13870703369248263,0.9755524601700265,0.3329416387242087,0.01149933253339034
b_0,0.12482149174630108,0.12813154779025093,0.02557353538238698,0.024663761361124206,0.12943286856730624,0.9644251759618127,0.2993886832453637,0.01434074400389699
c,1.0000575410193564,1.0000565349940072,3.113414048780191e-05,3.139536431628699e-05,-0.032312610320573025,1.0083902694724278,0.16543052681759707,0.07804821052051086
c1,0.5308251041183325,0.5308251041183325,1.1105006845081086e-16,2.2208162161361474e-16,0.0,1.9998332708095972,0.0,0.0
cos_i_0,0.02402318286853601,0.024670786193704997,0.0049825078140295,0.004806702695632027,0.12997537572254197,0.9647155358387097,0.3011899055719695,0.013599696094757733
depths_0,0.010557361908641047,0.010558648915443437,1.1489004055660746e-05,1.1343811485122723e-05,0.11202074576301063,0.987362475473539,0.310379290972993,0.0854661819421502
duration_0,0.17625752721325072,0.1762677563557008,0.00010784358552359573,0.00010732441152123166,0.0948516539061278,0.9951858610797906,0.29412785262808294,0.03810391857115948
error,0.0006026301416769562,0.00060238433685518,2.131138729536357e-06,2.1529843302206327e-06,-0.11533966248631392,1.010250670395835,0.08103779205620222,0.2341881582227285
inc_0,1.5467708326428284,1.5461230372785508,0.00498377629585949,0.0048079399978332845,-0.12998082695160326,0.9647182602934465,0.3012068721318792,0.013600154233809995
logD_0,-1.7358091306089163,-1.7357510970836545,0.000611841785260666,0.0006088833650081908,0.09485054250923233,0.9951647299616604,0.29410704900220375,0.0381047435150025
log_jitter,-8.412520913443457,-8.415533108465976,0.02617037695752609,0.026395084343764474,-0.11509941287463149,1.0085863259288577,0.08107787356824732,0.23308200640102944
log_tau,-2.345465516992968,-2.342020305843773,0.05615265391468258,0.05790434268279689,0.06135437791469861,1.0311951198384282,0.27569141425285215,0.08059511546471405
rors_0,0.10274902388169424,0.10275528655715692,5.590661899550934e-05,5.51988527131866e-05,0.11202028624163132,0.9873402059534384,0.310361981471126,0.08546882865154064
t0_0,60470.72669646407,60470.72669663203,1.7987815846039376e-05,1.8014892890062743e-05,0.009337331836360326,1.0015052991566693,0.1497467919110762,0.0004457520223388095
tau,0.09580259408881697,0.09613322378484984,0.00506574351134106,0.005245307068335947,0.06526775295525004,1.0354466341599975,0.2945239333047541,0.08555025725803529
v,-0.0012060748289406745,-0.0012052159161626066,7.863413635846326e-05,8.018984120684313e-05,0.01092289961896909,1.0197840902237165,0.12965998177358393,0.014191025593253493
