timestamp	job_id	slot	result	exit_code	config
2026-08-12T19:10:35-05:00	53263801	2	COMPLETED	0	configs_harmonica/WASP-17_nrs1_g395h_config.yaml
2026-08-12T19:23:20-05:00	53269141	3	COMPLETED	0	configs_harmonica/WASP-17_nrs2_g395h_config.yaml
2026-08-12T19:40:34-05:00	53269141	3	COMPLETED	0	configs_harmonica/WASP-17_soss_order2_v2_config.yaml
2026-08-12T19:55:33-05:00	53263801	2	COMPLETED	0	configs_harmonica/WASP-17_soss_order1_v2_config.yaml
2026-08-12T20:21:32-05:00	53269141	3	COMPLETED	0	configs_harmonica/WASP-39_nrs1_g140h_config.yaml
2026-08-12T20:45:18-05:00	53263801	2	COMPLETED	0	configs_harmonica/WASP-39_nrs1_g395h_config.yaml
2026-08-12T20:52:15-05:00	53269141	3	COMPLETED	0	configs_harmonica/WASP-39_nrs2_g140h_config.yaml
2026-08-12T21:10:30-05:00	53263801	2	COMPLETED	0	configs_harmonica/WASP-39_nrs2_g395h_config.yaml
2026-08-12T21:19:53-05:00	53269141	3	COMPLETED	0	configs_harmonica/WASP-39_soss_order1_config.yaml
2026-08-12T21:31:52-05:00	53263801	2	COMPLETED	0	configs_harmonica/WASP-39_soss_order2_config.yaml
2026-08-12T21:47:15-05:00	53269141	3	COMPLETED	0	configs_harmonica/WASP-52_nrs1_g395h_config.yaml
2026-08-12T22:02:21-05:00	53263801	2	COMPLETED	0	configs_harmonica/WASP-52_nrs2_g395h_config.yaml
2026-08-12T22:40:16-05:00	53269141	3	COMPLETED	0	configs_harmonica/WASP-52_soss_order1_config.yaml
2026-08-12T22:41:13-05:00	53263801	2	COMPLETED	0	configs_harmonica/WASP-52_soss_order2_config.yaml
2026-08-12T23:10:51-05:00	53263801	2	COMPLETED	0	configs_harmonica/WASP-63_nrs2_g395h_config.yaml
2026-08-12T23:26:55-05:00	53269141	3	COMPLETED	0	configs_harmonica/WASP-63_nrs1_g395h_config.yaml
2026-08-13T00:11:40-05:00	53269141	3	COMPLETED	0	configs_harmonica/WASP-63_soss_order2_config.yaml
2026-08-13T01:11:10-05:00	53263801	2	COMPLETED	0	configs_harmonica/WASP-63_soss_order1_config.yaml
2026-08-13T01:14:13-05:00	53269141	3	COMPLETED	0	configs_harmonica/WASP-69_nrs1_g395h_config.yaml
2026-08-13T02:08:19-05:00	53263801	2	COMPLETED	0	configs_harmonica/WASP-69_nrs2_g395h_config.yaml
