star,trans,snr,radius,scale_temp,kmag,nasa_pl_name,pl_name,hostname,pl_letter,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_eqt,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbsmax,pl_dens,pl_denserr1,pl_denserr2,st_teff,st_rad,sy_dist,default_flag
TOI-1231,1.62,2.4,3.651,330,8.1,TOI-1231 b,TOI-1231 b,TOI-1231,b,3.65,0.16,-0.15,24.245586,329.6,15.4,3.3,-3.3,0.1288,1.74,0.47,-0.42,3553,0.476,27.6227,1
TOI-1201,2.11,2.4,2.408,705,8.6,TOI-1201 b,TOI-1201 b,TOI-1201,b,2.415,0.091,-0.09,2.4919863,703,6.28,0.84,-0.88,0.0287,2.45,0.48,-0.42,3476,0.508,37.8871,1
TOI-178g,2.16,2.3,2.937,474,8.8,TOI-178 g,TOI-178 g,TOI-178,g,2.87,0.14,-0.13,20.7095,470,3.94,1.31,-1.62,0.1275,0.915,0.36,-0.37,4316,0.651,62.699,1
TOI-1136e,1.51,2.3,2.636,734,8,TOI-1136 e,TOI-1136 e,TOI-1136,e,,,,18.801,737,6.07,1.09,-1.01,,1.81,0.35,-0.35,5770,0.968,84.5362,1
TOI-178d,2.07,2.2,2.692,695,8.8,TOI-178 d,TOI-178 d,TOI-178,d,2.572,0.075,-0.078,6.5577,690,3.01,0.8,-1.03,0.0592,0.976,0.3,-0.34,4316,0.651,62.699,1
TOI-1266c,2.14,2.2,2.128,351,8.8,TOI-1266 c,TOI-1266 c,TOI-1266,c,1.98,0.1,-0.1,18.8027,346,3.17,0.76,-0.76,0.105,2.25,0.64,-0.64,3563,0.4232,36.0118,1
HD_042813b,1.19,2.2,3.405,757,7.6,HD 42813 b,HD 42813 b,HD 42813,b,3.41,0.046,-0.046,13.6308205,716,9.1,0.82,-0.79,0.111,,,,5289,0.98,68.192,1
HD_136352d,0.25,2.2,2.505,430,4.2,HD 136352 d,HD 136352 d,HD 136352,d,2.562,0.088,-0.079,107.245,431,8.82,0.93,-0.92,0.425,2.878108,0.430062,-0.39698,5664,1.058,14.682,1
HD_191939c,0.96,2.1,3.192,607,7.2,HD 191939 c,HD 191939 c,HD 191939,c,3.195,0.075,-0.075,28.579743,600,8,1,-1,0.1752,1.35,0.2,-0.2,5348,0.94,53.6089,1
TOI-1430,0.88,2,1.98,809,7.1,HD 235088 b,HD 235088 b,HD 235088,b,1.982,0.072,-0.069,7.4341325,,4.15,0.83,-0.83,0.0706,2.922216,0.661634,-0.661634,5075,0.772,41.1706,1
TOI-815b,1.34,2,2.934,685,8,TOI-815 b,TOI-815 b,TOI-815,b,2.94,0.05,-0.05,11.197259,686,7.6,1.5,-1.4,0.0903,1.64,0.33,-0.31,4869,0.77,59.7117,1
TOI-1759,1.26,2,3.248,453,7.9,TOI-1759 b,TOI-1759 b,TOI-1759,b,3.14,0.1,-0.1,18.85019,443,10.8,1.5,-1.5,0.1177,1.91,0.32,-0.32,4065,0.597,40.0654,1
TOI-836b,0.74,2,1.702,871,6.8,TOI-836 b,TOI-836 b,TOI-836,b,1.704,0.067,-0.067,3.81673,871,4.53,0.92,-0.86,0.0422,5.02,0.36,-0.44,4552,0.665,27.5024,1
LTT_3780c,1.42,2,2.386,347,8.2,LTT 3780 c,LTT 3780 c,LTT 3780,c,2.39,0.1,-0.11,12.252284,359,8.04,0.5,-0.48,0.0757,3.24,0.55,-0.43,3358,0.38,21.9814,1
TOI-969,1.93,2,2.763,1078,8.9,TOI-969 b,TOI-969 b,TOI-969,b,2.765,0.088,-0.097,1.8237305,941,9.1,1,-1,0.02636,2.34,0.39,-0.34,4435,0.671,77.2554,1
TOI-561c,1.54,1.9,2.863,797,8.4,TOI-561 c,TOI-561 c,TOI-561,c,2.865,0.041,-0.041,10.778838,802,5.93,0.67,-0.67,0.0889,1.3,0.2,-0.2,,0.843,85.799,1
K2-036c,2.44,1.9,3.192,864,9.4,K2-36 c,K2-36 c,K2-36,c,3.2,0.3,-0.3,5.340888,854,7.9,2.8,-2.8,0.05528,1.3,0.71,-0.51,4916,0.718,109.749,1
TOI-421b,1.29,1.9,2.643,1008,8.1,TOI-421 b,TOI-421 b,TOI-421,b,2.64,0.08,-0.08,5.197576,922,6.7,0.6,-0.6,0.0554,2.040038,0.275681,-0.275681,5291,0.866,74.7969,1
TOI-1130b,1.47,1.9,3.662,824,8.4,TOI-1130 b,TOI-1130 b,TOI-1130,b,3.66,0.03,-0.04,4.074554,825,19.8,0.2,-0.3,0.0453,2.23,0.06,-0.06,4360,0.697,58.2609,1
