star,trans,snr,radius,scale_temp,kmag,nasa_pl_name,pl_name,hostname,pl_letter,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_eqt,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbsmax,pl_dens,pl_denserr1,pl_denserr2,st_teff,st_rad,sy_dist,default_flag
K2-167b,0.31,0.8,2.33,1193,6.9,K2-167 b,K2-167 b,K2-167,b,2.36509493,0.21297063,-0.14571675,9.978541,1220,,,,0.0932,,,,6310,1.499,80.8994,1
TOI-5817,0.34,0.8,2.778,950,7.1,TOI-5817 b,TOI-5817 b,TOI-5817,b,3.08,0.14,-0.14,15.61031,950,10.3,1.4,-1.3,0.1223,1.93,0.41,-0.34,5770,1.427,80.7542,1
TOI-1062,0.58,0.8,2.262,1032,8.3,TOI-1062 b,TOI-1062 b,TOI-1062,b,2.265,0.096,-0.091,4.11296,1077,10.15,0.81,-0.84,0.052,4.85,0.84,-0.74,5328,0.84,82.1733,1
K2-136c,0.59,0.8,3.002,518,8.4,K2-136 c,K2-136 c,K2-136,c,3,0.13,-0.13,17.30713,470,18.1,1.9,-1.8,0.1185,3.69,0.67,-0.56,4500,0.677,59.2474,1
HD_023472b,0.37,0.7,1.994,558,7.3,HD 23472 b,HD 23472 b,HD 23472,b,2,0.11,-0.1,17.667087,543,8.32,0.78,-0.79,0.1162,6.15,1.2,-1,4684,0.71,39.0341,1
TOI-1064b,0.61,0.7,2.585,724,8.5,TOI-1064 b,TOI-1064 b,TOI-1064,b,2.587,0.043,-0.042,6.443868,784,13.5,1.7,-1.8,0.06152,4.30062,0.551362,-0.606498,4734,0.726,68.0726,1
K2-032c,1.13,0.7,3.136,633,9.8,K2-32 c,K2-32 c,K2-32,c,3.134,0.123,-0.102,20.66093,634,8.1,2.4,-2.4,0.13843,1.43,0.48,-0.45,5271,0.86,157.682,1
HD_307842,0.41,0.7,1.926,1309,7.6,TOI-784 b,TOI-784 b,HD 307842,b,1.93,0.11,-0.09,2.7970365,,9.67,0.83,-0.82,0.038,7.4,1.4,-1.2,5558,0.907,64.5997,1
TOI-6054b,0.26,0.7,2.643,1360,6.7,TOI-6054.01,TOI-6054.01,TOI-6054,b,2.642,0.323,-0.207,7.492991423,,,,,0.078513,,,,6112,1.612,79.407,1
K2-285c,1.17,0.7,3.528,741,10,K2-285 c,K2-285 c,K2-285,c,3.53,0.08,-0.08,7.138048,741.4,15.68,2.28,-2.13,0.0824,1.95,0.32,-0.28,4975,0.787,154.961,1
TOI-1075,0.79,0.7,1.79,1322,9.1,TOI-1075 b,TOI-1075 b,TOI-1075,b,1.791,0.116,-0.081,0.6047328,1323,9.95,1.36,-1.3,0.01159,9.32,2.05,-1.85,3875,0.581,61.4592,1
TOI-669,0.79,0.7,2.598,1239,9.1,TOI-669 b,TOI-669 b,TOI-669,b,2.58606487,0.13042739,-0.11014467,3.945152,1124.85,10,1.4,-1.4,0.048,3.17,0.73,-0.95,5597,0.9882,142.867,1
HD_213885,0.22,0.7,1.744,1274,6.4,HD 213885 b,HD 213885 b,HD 213885,b,1.745,0.051,-0.052,1.008035,2128,8.83,0.66,-0.65,0.02012,9.15,1.1,-1,5978,1.1011,48.0883,1
K2-285b,1.09,0.7,2.587,1089,10,K2-285 b,K2-285 b,K2-285,b,2.59,0.06,-0.06,3.471745,1088.9,9.68,1.21,-1.37,0.03817,3.07,0.45,-0.45,4975,0.787,154.961,1
Kepler-068,0.57,0.7,2.308,1253,8.6,Kepler-68 b,Kepler-68 b,Kepler-68,b,2.357,0.023,-0.023,5.39875259,1275,8.03,0.67,-0.67,0.06135,3.37,0.3,-0.29,5847,1.2564,144.166,1
Kepler-080,3,0.6,2.371,708,12.2,Kepler-80 b,Kepler-80 b,Kepler-80,b,2.67,0.1,-0.1,7.05246,,6.93,1.05,-0.7,0.0648,1.38,0.24,-0.17,4540,0.678,369.451,1
TOI-1117b,0.8,0.6,2.453,1532,9.4,TOI-1117 b,TOI-1117 b,TOI-1117,b,2.46,0.13,-0.12,2.22816,1538,8.9,0.95,-0.96,0.033,3.3,0.6,-0.6,5635,1.05,167.598,1
Kepler-037,0.41,0.6,1.994,499,7.9,Kepler-37 b,Kepler-37 b,Kepler-37,b,0.3098,0.0059,-0.0076,13.36702,718,0.79,,,0.1019,140,,,5357,0.789,63.9207,1
Kepler-026,3.53,0.6,3.218,524,12.6,Kepler-26 b,Kepler-26 b,Kepler-26,b,2.78,0.11,-0.11,12.28,,5.12,0.65,-0.61,,1.26,0.21,-0.19,3914,0.512,335.307,1
TOI-1408c,0.43,0.6,2.218,2023,8.1,TOI-1408 c,TOI-1408 c,TOI-1408,c,2.22,0.06,-0.06,2.1664,,7.6,0.2,-0.2,0.03587,3.8,0.3,-0.3,6117,1.53,139.484,1
TOI-908,0.88,0.6,3.183,1346,9.6,TOI-908 b,TOI-908 b,TOI-908,b,3.186,0.155,-0.155,3.183792,1317,16.137,4.112,-4.039,0.041657,2.742,0.241,-0.353,5626,1.028,175.748,1
K2-138e,1.2,0.6,3.382,855,10.3,K2-138 e,K2-138 e,K2-138,e,3.39,0.156,-0.11,8.26146,,12.97,1.98,-1.99,0.0782,1.8,0.4,-0.3,5356.3,0.863,202.585,1
WASP-132c,0.87,0.6,1.839,1453,9.7,WASP-132 c,WASP-132 c,WASP-132,c,1.841,0.094,-0.093,1.01153624,1329,6.26,1.84,-1.83,0.01833,5.47,1.96,-1.71,4686,0.758,122.91,1
HIP_97166,0.39,0.6,2.733,768,7.9,HIP 97166 b,HIP 97166 b,HIP 97166,b,2.4801338,0.07271432,-0.05203142,10.288914,701.66,19.1,1.6,-1.5,0.091,6.86,1.26,-1.58,5216,0.8418,65.9501,1
K2-233d,0.46,0.6,2.361,524,8.4,K2-233 d,K2-233 d,K2-233,d,2.363,0.062,-0.062,24.3681,525,10.3,2.4,-2.6,0.1516,4.3,1.1,-1.1,4796,0.71,67.5062,1
TOI-2000b,0.7,0.6,2.643,1381,9.3,TOI-2000 b,TOI-2000 b,TOI-2000,b,2.7,0.15,-0.15,3.09833,1488,11,2.4,-2.4,0.04271,3.07,0.94,-0.78,5611,1.134,175.713,1
TOI-2141,0.34,0.5,3.114,740,7.9,TOI-2141 b,TOI-2141 b,TOI-2141,b,3.05,0.23,-0.23,18.26157,722,24,4,-4,0.133,4.6,1.3,-1.3,5659,0.98,77.682,1
HD_035843c,0.32,0.5,2.542,517,7.8,HD 35843 c,HD 35843 c,HD 35843,c,2.54,0.08,-0.07,46.9622,479,11.32,1.58,-1.48,0.25,3.8,0.68,-0.6,5666,0.897,69.6026,1
TOI-125d,0.57,0.5,2.923,638,9,TOI-125 d,TOI-125 d,TOI-125,d,2.93,0.17,-0.17,19.98,638.1,13.6,1.2,-1.2,0.137,2.98,0.65,-0.52,5320,0.848,111.059,1
K2-138c,1.02,0.5,2.296,1132,10.3,K2-138 c,K2-138 c,K2-138,c,2.299,0.12,-0.087,3.56004,,6.31,1.13,-1.23,0.04461,2.8,0.7,-0.6,5356.3,0.863,202.585,1
HIP_08152c,0.43,0.5,2.475,699,8.4,HIP 8152 c,HIP 8152 c,HIP 8152,c,2.52442508,0.14962921,-0.14078921,19.60562,650.68,10.7,2.1,-2.2,0.139,3.63,1.02,-1.38,5618,0.9603,101.694,1
TOI-3261,1.53,0.5,3.819,1718,11.2,TOI-3261 b,TOI-3261 b,TOI-3261,b,3.82,0.42,-0.35,0.8831331,1722,30.3,2.2,-2.4,0.01714,3,1.1,-0.8,5068,0.849,300.141,1
TOI-1246e,0.85,0.5,3.774,501,9.9,TOI-1246 e,TOI-1246 e,TOI-1246,e,3.5141875,0.26911442,-0.18217943,37.92548,463.98,14.5,2.3,-2.3,0.212,1.83,0.47,-0.65,5213,0.8649,169.422,1
TOI-1824,0.31,0.5,2.632,578,7.8,TOI-1824 b,TOI-1824 b,TOI-1824,b,2.7438269,0.08672208,-0.07211466,22.808533,528.67,16,2.6,-2.6,0.151,4.24,0.96,-1.21,5165,0.8123,59.4314,1
K2-199c,0.97,0.5,2.845,695,10.3,K2-199 c,K2-199 c,K2-199,c,2.85,0.1,-0.09,7.3744897,694,12.4,2.3,-2.3,0.0662,2.9,0.7,-0.6,4491,0.682,107.518,1
Kepler-065,0.77,0.5,2.621,1376,9.8,Kepler-65 b,Kepler-65 b,Kepler-65,b,1.42,0.03,-0.03,2.15491,,,,,0.035,,,,6211,1.41,303.728,1
TOI-2196,0.98,0.5,3.506,1856,10.4,TOI-2196 b,TOI-2196 b,TOI-2196,b,3.51,0.15,-0.15,1.1947268,1860,26,1.3,-1.3,0.02234,3.31,0.51,-0.43,5634,1.043,259.947,1
TOI-561d,0.39,0.5,2.613,597,8.4,TOI-561 d,TOI-561 d,TOI-561,d,2.615,0.059,-0.059,25.71268,600,13.33,0.98,-0.98,0.1587,4.1,0.4,-0.4,,0.843,85.799,1
TOI-1246c,0.78,0.5,2.509,932,9.9,TOI-1246 c,TOI-1246 c,TOI-1246,c,2.45109846,0.13824169,-0.08751012,5.904137,862.49,9.1,1.3,-1.2,0.061,3.39,0.78,-1.02,5213,0.8649,169.422,1
Kepler-025,0.63,0.5,2.746,1330,9.5,Kepler-25 b,Kepler-25 b,Kepler-25,b,2.748,0.038,-0.035,6.238297,,8.7,2.5,-2.3,,2.32,0.67,-0.61,,1.316,243.249,1
Kepler-080,2.24,0.5,2.505,640,12.2,Kepler-80 b,Kepler-80 b,Kepler-80,b,2.67,0.1,-0.1,7.05246,,6.93,1.05,-0.7,0.0648,1.38,0.24,-0.17,4540,0.678,369.451,1
NGTS-04,1.27,0.5,3.181,1648,11.1,NGTS-4 b,NGTS-4 b,NGTS-4,b,3.18,0.26,-0.26,1.3373508,1650,20.6,3,-3,0.019,3.45,0.95,-0.95,5143,0.84,280.555,1
HD_212729b,0.34,0.5,2.867,1104,8.2,TOI-1052 b,TOI-1052 b,TOI-1052,b,2.87,0.29,-0.24,9.139703,1135,16.9,1.7,-1.7,0.09103,3.93,1.7,-1.3,6146,1.264,129.804,1
WASP-084c,0.42,0.4,1.949,1452,8.9,WASP-84 c,WASP-84 c,WASP-84,c,1.95,0.12,-0.12,1.4468849,1329,15.2,4.5,-4.2,0.02359,11.2,4.5,-3.5,,0.768,100.588,1
K2-138d,0.8,0.4,2.386,985,10.3,K2-138 d,K2-138 d,K2-138,d,2.39,0.104,-0.084,5.40479,,7.92,1.39,-1.35,0.05893,3.1,0.7,-0.6,5356.3,0.863,202.585,1
WASP-047d,0.75,0.4,3.564,985,10.2,WASP-47 d,WASP-47 d,WASP-47,d,3.65,0.03,-0.03,9.030501,,15.5,0.7,-0.9,,,,,,1.156,264.78,1
TOI-849,0.82,0.4,3.45,1965,10.4,TOI-849 b,TOI-849 b,TOI-849,b,3.64,0.38,-0.38,0.765548,,41.8,2.5,-2.4,0.0155,5.6,0.76,-0.92,5257,0.97,225.734,1
Kepler-011,1.82,0.4,4.176,636,12.2,Kepler-11 b,Kepler-11 b,Kepler-11,b,1.8,0.03,-0.05,10.3039,,1.9,1.4,-1,0.091,1.72,1.25,-0.91,5663,1.065,646.346,1
HD_088986,0.06,0.4,2.486,460,4.9,HD 88986 b,HD 88986 b,HD 88986,b,2.49,0.18,-0.18,146.05,460,17.2,4,-3.8,0.58,6.1,3.3,-2.3,5861,1.543,33.2673,1
TOI-1751,0.24,0.4,2.766,688,7.9,TOI-1751 b,TOI-1751 b,TOI-1751,b,2.9507845,0.11061818,-0.08190008,37.46852,651.64,19.5,3.5,-3.4,0.215,4.13,0.99,-1.26,5970,1.3137,113.335,1
K2-314d,0.52,0.4,3.942,729,9.7,EPIC 249893012 d,EPIC 249893012 d,EPIC 249893012,d,3.94,0.13,-0.12,35.747,752,10.18,2.46,-2.42,0.22,0.91,0.25,-0.23,5430,1.71,321.296,1
K2-182,0.57,0.4,2.688,1069,9.9,K2-182 b,K2-182 b,K2-182,b,2.71257333,0.11096891,-0.09079274,4.7369696,965.8,20.97667486,5.40308292,-5.08525451,0.05174,5.7,1.6,-1.5,5128,0.789,154.83,1
Kepler-036,0.85,0.4,3.677,1014,10.8,Kepler-36 b,Kepler-36 b,Kepler-36,b,1.498,0.061,-0.049,13.86825,,3.83,0.11,-0.1,,6.26,0.79,-0.64,5979,1.634,527.956,1
K2-265,0.4,0.3,1.714,1420,9.3,K2-265 b,K2-265 b,K2-265,b,1.70824866,0.11208981,-0.08070466,2.36902,1366,7.3418362,1.43022783,-1.39844499,0.03359,7.9,2.1,-1.9,5420,0.92,138.671,1
Kepler-454,0.54,0.3,2.363,916,10,Kepler-454 b,Kepler-454 b,Kepler-454,b,2.37,0.13,-0.13,10.5737534,916,5.4,1.4,-1.4,0.09528,2.23,0.75,-0.64,5687,1.066,230.869,1
Kepler-026,1.85,0.3,3.108,468,12.6,Kepler-26 b,Kepler-26 b,Kepler-26,b,2.78,0.11,-0.11,12.28,,5.12,0.65,-0.61,,1.26,0.21,-0.19,3914,0.512,335.307,1
TOI-561e,0.26,0.3,2.516,414,8.4,TOI-561 e,TOI-561 e,TOI-561,e,2.517,0.045,-0.045,77.144,416,12.4,1.4,-1.4,0.33,4.3,0.5,-0.5,,0.843,85.799,1
K2-110,0.45,0.3,2.587,638,9.6,K2-110 b,K2-110 b,K2-110,b,2.592,0.098,-0.097,13.86375,638,15.9,2.7,-2.7,0.10207,5.02,1.1,-0.98,5010,0.713,116.474,1
TOI-815c,0.21,0.3,2.621,468,8,TOI-815 c,TOI-815 c,TOI-815,c,2.62,0.1,-0.09,34.976145,469,23.5,2.4,-2.4,0.193,7.2,1.1,-1,4869,0.77,59.7117,1
K2-038c,0.41,0.3,2.285,926,9.5,K2-38 c,K2-38 c,K2-38,c,2.49,0.22,-0.22,10.56103,949,7.4,1.4,-1.3,0.0959,2.63,1,-0.72,5705,1.141,192.69,1
Kepler-004,0.76,0.3,4.122,1621,10.8,Kepler-4 b,Kepler-4 b,Kepler-4,b,4.002,0.213,-0.213,3.21346,1650,24.472,3.814,-3.814,0.0456,1.91,0.36,-0.47,5857,1.487,487.916,1
Kepler-020,0.7,0.3,3.044,844,10.9,Kepler-20 b,Kepler-20 b,Kepler-20,b,1.773,0.053,-0.03,3.6961049,1187,9.7,1.3,-1.3,0.04565,9.4,1.5,-1.4,5495,0.9164,282.563,1
K2-199b,0.5,0.3,1.725,915,10.3,K2-199 b,K2-199 b,K2-199,b,1.73,0.05,-0.04,3.2253993,913,6.9,1.8,-1.8,0.0382,7.2,2.1,-2,4491,0.682,107.518,1
K2-111,0.33,0.3,1.814,1304,9.4,K2-111 b,K2-111 b,K2-111,b,1.82,0.11,-0.09,5.3518,1309,5.58,0.74,-0.73,0.0565,5,1.1,-1,5775,1.25,200.394,1
K2-314c,0.38,0.3,3.662,949,9.7,EPIC 249893012 c,EPIC 249893012 c,EPIC 249893012,c,3.67,0.17,-0.14,15.624,990,14.67,1.84,-1.89,0.13,1.62,0.3,-0.29,5430,1.71,321.296,1
TOI-1853,0.44,0.3,3.45,1491,10.1,TOI-1853 b,TOI-1853 b,TOI-1853,b,3.46,0.08,-0.08,1.2436258,1479,73.2,2.7,-2.7,0.0213,9.74,0.82,-0.76,4985,0.808,165.105,1
TOI-332,0.49,0.3,3.192,1872,10.3,TOI-332 b,TOI-332 b,TOI-332,b,3.2,0.16,-0.11,0.777038,1871,57.2,1.6,-1.6,0.0159,9.6,1.1,-1.3,5251,0.87,222.852,1
K2-310b,1.06,0.2,2.587,528,12.2,EPIC 212737443 b,EPIC 212737443 b,EPIC 212737443,b,2.586,0.126,-0.126,13.603,536,,,,0.098,,,,4684,0.673,336.25,1
K2-180,0.54,0.2,2.24,747,10.7,K2-180 b,K2-180 b,K2-180,b,2.46597575,0.10984801,-0.09639723,8.865663,797.5,11.41003981,2.38371305,-2.16123317,0.0756,4.16,1.1,-0.92,5365,0.719,203.896,1
WASP-047c,0.38,0.2,1.807,2225,10.2,WASP-47 c,WASP-47 c,WASP-47,c,,,,589.57,,447,18,-22,,,,,,1.156,264.78,1
Kepler-079,1.16,0.2,3.483,546,12.6,Kepler-79 b,Kepler-79 b,Kepler-79,b,3.47,0.07,-0.07,13.4845,,10.9,7.4,-6,0.117,1.43,0.97,-0.78,6174,1.302,1020.72,1
Kepler-049,1.02,0.2,2.577,637,12.4,Kepler-49 b,Kepler-49 b,Kepler-49,b,2.579,0.087,-0.086,7.2,,9.77,0.94,-0.95,,3.082111,0.391467,-0.391467,4095.6,0.618,311.222,1
Kepler-411,0.35,0.2,2.397,1057,10.1,Kepler-411 b,Kepler-411 b,Kepler-411,b,2.401,0.053,-0.053,3.005156,1138,25.6,2.6,-2.6,0.0375,10.3,1.3,-1.3,,0.82,153.676,1
Kepler-011,0.91,0.2,3.108,702,12.2,Kepler-11 b,Kepler-11 b,Kepler-11,b,1.8,0.03,-0.05,10.3039,,1.9,1.4,-1,0.091,1.72,1.25,-0.91,5663,1.065,646.346,1
Kepler-049,0.88,0.2,2.442,555,12.4,Kepler-49 b,Kepler-49 b,Kepler-49,b,2.579,0.087,-0.086,7.2,,9.77,0.94,-0.95,,3.082111,0.391467,-0.391467,4095.6,0.618,311.222,1
Kepler-289,0.91,0.2,3.024,502,12.5,Kepler-289 b,Kepler-289 b,Kepler-289,b,2.49,0.07,-0.07,34.5383,,3.7,3.79,-1.96,,1.45,1.5,-0.77,5990,1,704.438,1
Kepler-010,0.2,0.2,2.353,578,9.5,Kepler-10 b,Kepler-10 b,Kepler-10,b,1.47,0.03,-0.02,0.8374907,2188,3.24,0.32,-0.32,0.01685,5.54,0.66,-0.62,5708,1.065,185.506,1
Kepler-030,1.33,0.2,3.752,601,13.6,Kepler-30 b,Kepler-30 b,Kepler-30,b,3.9,0.2,-0.2,29.33434,,11.3,1.4,-1.4,0.18,1.02,0.13,-0.13,5498,0.95,914.221,1
K2-310c,0.68,0.2,2.688,312,12.2,EPIC 212737443 c,EPIC 212737443 c,EPIC 212737443,c,2.69,0.146,-0.146,65.55,316,,,,0.28,,,,4684,0.673,336.25,1
Kepler-082,1.25,0.1,4.066,602,13.5,Kepler-82 b,Kepler-82 b,Kepler-82,b,4.07,0.24,-0.1,26.44,,12.15,0.96,-0.87,0.1683,0.98,0.11,-0.16,,0.898,904.326,1
K2-263,0.21,0.1,2.408,470,9.8,K2-263 b,K2-263 b,K2-263,b,2.41,0.12,-0.12,50.818947,470,14.9,2.1,-2.1,0.2573,5.8,1.3,-1.1,5368,0.85,162.481,1
Kepler-033,0.7,0.1,3.954,736,12.6,Kepler-33 b,Kepler-33 b,Kepler-33,b,1.74,0.18,-0.18,5.66793,,,,,0.0677,,,,5904,1.82,1209.16,1
Kepler-033,0.68,0.1,3.539,802,12.6,Kepler-33 b,Kepler-33 b,Kepler-33,b,1.74,0.18,-0.18,5.66793,,,,,0.0677,,,,5904,1.82,1209.16,1
Kepler-020,0.3,0.1,1.867,1209,10.9,Kepler-20 b,Kepler-20 b,Kepler-20,b,1.773,0.053,-0.03,3.6961049,1187,9.7,1.3,-1.3,0.04565,9.4,1.5,-1.4,5495,0.9164,282.563,1
Kepler-538,0.17,0.1,2.213,365,9.6,Kepler-538 b,Kepler-538 b,Kepler-538,b,2.215,0.04,-0.034,81.73778,417,12.9,2.9,-2.9,0.3554,6.5,1.5,-1.5,5534,0.8717,155.956,1
K2-314b,0.16,0.1,1.949,1579,9.7,EPIC 249893012 b,EPIC 249893012 b,EPIC 249893012,b,1.95,0.09,-0.08,3.5951,1616,8.75,1.09,-1.08,0.047,6.39,1.19,-1.04,5430,1.71,321.296,1
Kepler-165,0.35,0.1,1.904,761,12.6,Kepler-165 b,Kepler-165 b,Kepler-165,b,2.32,1.41,-1.41,8.180848,,,,,0.072,,,,5211,0.77,560.885,1
K2-066,0.14,0.1,2.486,1499,10.6,K2-66 b,K2-66 b,K2-66,b,2.49,0.34,-0.24,5.06963,1372,21.3,3.6,-3.6,0.05983,7.8,2.7,-2.7,5887,1.67,513.877,1
Kepler-165,0.2,0,1.904,871,12.6,Kepler-165 b,Kepler-165 b,Kepler-165,b,2.32,1.41,-1.41,8.180848,,,,,0.072,,,,5211,0.77,560.885,1
Kepler-278,0.03,0,3.27,755,9.5,Kepler-278 b,Kepler-278 b,Kepler-278,b,4.07,0.16,-0.16,30.160546,,,,,0.207,,,,4991,2.935,443.03,1
