CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
4.348,0.015,0.6058,0.0064,-0.0064,Beatty et al. 2024,0.07783,0.00041,-0.00041,Calculated,0.4143,0.0138,-0.0138,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.363,0.015,0.5979,0.0067,-0.0067,Beatty et al. 2024,0.07732,0.00043,-0.00043,Calculated,0.4116,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.377,0.015,0.6115,0.0065,-0.0065,Beatty et al. 2024,0.0782,0.00041,-0.00042,Calculated,0.4162,0.0139,-0.0139,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.393,0.015,0.5885,0.007,-0.007,Beatty et al. 2024,0.07671,0.00045,-0.00046,Calculated,0.4083,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.408,0.015,0.5816,0.0069,-0.0069,Beatty et al. 2024,0.07626,0.00045,-0.00045,Calculated,0.4059,0.0136,-0.0136,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.422,0.015,0.6083,0.0067,-0.0067,Beatty et al. 2024,0.07799,0.00043,-0.00043,Calculated,0.4152,0.0139,-0.0139,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.438,0.015,0.5845,0.0069,-0.0069,Beatty et al. 2024,0.07645,0.00045,-0.00045,Calculated,0.407,0.0136,-0.0136,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.453,0.015,0.5935,0.0068,-0.0068,Beatty et al. 2024,0.07704,0.00044,-0.00044,Calculated,0.4101,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.467,0.015,0.6026,0.0069,-0.0069,Beatty et al. 2024,0.07763,0.00044,-0.00045,Calculated,0.4132,0.0138,-0.0138,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.482,0.015,0.5928,0.0068,-0.0068,Beatty et al. 2024,0.07699,0.00044,-0.00044,Calculated,0.4098,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.498,0.015,0.5932,0.007,-0.007,Beatty et al. 2024,0.07702,0.00045,-0.00046,Calculated,0.41,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.512,0.015,0.5921,0.0072,-0.0072,Beatty et al. 2024,0.07695,0.00047,-0.00047,Calculated,0.4096,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.527,0.015,0.5921,0.0073,-0.0073,Beatty et al. 2024,0.07695,0.00047,-0.00048,Calculated,0.4096,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.543,0.015,0.5983,0.0077,-0.0077,Beatty et al. 2024,0.07735,0.0005,-0.0005,Calculated,0.4117,0.0138,-0.0138,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.558,0.015,0.5835,0.0075,-0.0075,Beatty et al. 2024,0.07639,0.00049,-0.00049,Calculated,0.4066,0.0136,-0.0136,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.572,0.015,0.592,0.0074,-0.0074,Beatty et al. 2024,0.07694,0.00048,-0.00048,Calculated,0.4096,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.588,0.015,0.583,0.0078,-0.0078,Beatty et al. 2024,0.07635,0.00051,-0.00051,Calculated,0.4064,0.0136,-0.0136,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.603,0.015,0.5866,0.007,-0.007,Beatty et al. 2024,0.07659,0.00046,-0.00046,Calculated,0.4077,0.0136,-0.0136,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.617,0.015,0.5972,0.0072,-0.0072,Beatty et al. 2024,0.07728,0.00046,-0.00047,Calculated,0.4114,0.0138,-0.0138,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
