star,trans,snr,radius,scale_temp,kmag,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur,rowupdate,st_rad,st_teff,sy_dist,sy_jmag,sy_kmag
LP_791-18c,8.77,3.9,2.486,343,10.6,LP 791-18 c,LP 791-18 c,1.0,LP 791-18,7.1,0.7,-0.7,,,,324.4,c,4.9899093,0.02961,2.438,0.096,-0.096,1.167,2023-05-14,0.182,2960.0,26.4927,11.559,10.644
HD_136352c,0.44,3.9,2.85,676,4.2,HD 136352 c,HD 136352 c,1.0,HD 136352,11.24,0.65,-0.63,2.497668,0.248113,-0.226058,677.0,c,27.59221,0.1721,2.916,0.075,-0.073,3.251,2021-08-09,1.058,5664.0,14.682,4.308,4.159
GJ_9827d,1.75,3.8,1.982,655,7.2,GJ 9827 d,GJ 9827 d,1.0,GJ 9827,3.02,0.58,-0.57,2.51,0.57,-0.51,675.0,d,6.20183,0.053,1.98,0.11,-0.1,1.248,2024-10-15,0.58,4236.0,29.661,7.984,7.193
TOI-2443,1.24,3.7,2.361,517,6.5,TOI-2443 b,TOI-2443 b,1.0,TOI-2443,4.8,1.1,-1.1,2.0,0.49,-0.45,519.0,b,15.66858,0.105,2.363,0.066,-0.066,4.548,2025-03-10,0.631,4375.0,23.9258,7.26,6.5
TOI-2015,6.79,3.6,3.306,531,10.3,TOI-2015 b,TOI-2015 b,1.0,TOI-2015,9.2,0.32,-0.35,1.4,0.052,-0.056,530.9,b,3.348237,0.029322,3.309,0.013,-0.011,0.9876,2025-03-09,0.3273,3297.0,47.3444,11.118,10.263
TOI-2134b,0.97,3.5,2.677,665,6.1,TOI-2134 b,TOI-2134 b,1.0,TOI-2134,9.13,0.78,-0.76,2.607,0.516,-0.516,666.0,b,9.2292005,0.078,2.69,0.16,-0.16,2.995,2023-11-28,0.709,4580.0,22.6202,6.776,6.091
TOI-4438,3.24,3.3,2.52,435,8.9,TOI-4438 b,TOI-4438 b,1.0,TOI-4438,5.4,1.1,-1.1,1.85,0.51,-0.44,435.0,b,7.44628,0.0534,2.52,0.13,-0.13,2.021,2024-03-25,0.372,3422.0,30.0346,9.695,8.869
TOI-1266b,3.19,3.3,2.621,414,8.8,TOI-1266 b,TOI-1266 b,1.0,TOI-1266,4.46,0.69,-0.69,1.54,0.28,-0.28,415.0,b,10.8945,0.073,2.52,0.08,-0.08,2.071,2025-03-21,0.4232,3563.0,36.0118,9.706,8.84
TOI-270c,2.4,3.2,2.328,489,8.2,TOI-270 c,TOI-270 c,1.0,TOI-270,6.15,0.37,-0.37,2.6,0.26,-0.26,488.0,c,5.6605731,0.04526,2.355,0.064,-0.064,1.6631704,2021-08-03,0.378,3506.0,22.4793,9.099,8.251
HD_191939b,1.38,3.0,3.407,897,7.2,HD 191939 b,HD 191939 b,1.0,HD 191939,10.0,0.7,-0.7,1.4,0.15,-0.13,880.0,b,8.8803256,0.0804,3.41,0.075,-0.075,2.939,2022-11-14,0.94,5348.0,53.6089,7.597,7.18
