hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,spectrum,published,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper_y,pl_orbsmax_y,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur_y,rowupdate,st_rad_y,st_teff_y,sy_dist_y,sy_jmag,sy_kmag_y,target_id
TOI-260,b,Transit,GO,2512,1,2,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,45260.25,45260.53,7.75,Batalha,0,00 19 5.5243 -09 57 58.14,6.549,20.19,4050.0,0.582,0.607,4.646,13.4758478,0.093,88.84,0.012,0.153,14.43,5.06,499.9,0.1,2.1,90.97,0.05,X,-0.34,unsure,no,TOI-260 b,TOI-260 b,1.0,TOI-260,4.23,1.6,-1.6,4.66,1.89,-1.89,493.0,b,13.475853,0.0943,1.71,0.08,-0.08,2.37,30/8/2024,0.607,4026.0,20.1852,7.376,6.549,TOI-260b
LHS 1140,b,Transit,DD,6543,2,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,3,45261.25,45261.55,7.88,Cadieux,0,00 44 59.3309 -15 16 17.54,8.821,14.99,3131.0,0.179,0.214,5.049,24.737165,0.094,89.89,0.0176,0.1543,24.48,5.9,226.0,0.5,2.1,69.87,0.0,X,-0.24,,,LHS 1140 b,LHS 1140 b,1.0,LHS 1140,5.6,0.19,-0.19,5.9,0.3,-0.3,226.0,b,24.73723,0.0946,1.73,0.025,-0.025,2.15,4/3/2024,0.2159,3096.0,14.9861,9.612001,8.821,LHS 1140b
GJ 3090,b,Transit,GO,4098,2,12,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,45266.19,45266.4,5.19,Benneke,0,01 21 45.2173 -46 42 53.04,7.294,22.48,3629.5,0.519,0.518,4.745,2.8531035,0.032,87.14,0.011,0.185,8.69,2.51,708.0,0.1,1.2,252.99,1.03,X,-0.06,unsure,yes,GJ 3090 b,GJ 3090 b,1.0,GJ 3090,3.34,0.72,-0.72,1.89,0.52,-0.45,693.0,b,2.8531054,0.03165,2.13,0.11,-0.11,1.281,28/11/2023,0.516,3556.0,22.4751,8.168,7.294,GJ 3090b
LHS 1140,b,Transit,DD,6543,2,2,Executed,SOSS,X,SUBSTRIP256,NISRAPID,3,45285.98,45286.29,7.88,Cadieux,0,00 44 59.6827 -15 16 27.09,8.821,14.99,3131.0,0.179,0.214,5.049,24.737165,0.094,89.89,0.0176,0.1543,24.48,5.9,227.5,0.5,2.1,69.87,0.0,X,-0.24,,,LHS 1140 b,LHS 1140 b,1.0,LHS 1140,5.6,0.19,-0.19,5.9,0.3,-0.3,226.0,b,24.73723,0.0946,1.73,0.025,-0.025,2.15,4/3/2024,0.2159,3096.0,14.9861,9.612001,8.821,LHS 1140b
K2-18,b,Transit,GO,2372,1,1,Executed,BOTS,G235H,SUB2048,NRSRAPID,9,45309.04,45309.47,11.34,Hu,12,11 30 14.4338 +07 35 16.19,8.899,38.03,3457.0,0.413,0.411,4.786,32.9398375,0.146,89.58,0.027,0.203,18.6,4.89,279.6,0.3,2.7,38.9,0.0,X,0.12,,,K2-18 b,K2-18 b,1.0,K2-18,8.92,1.7,-1.6,4.11,1.72,-1.18,284.0,b,32.939623,0.1429,2.37,0.22,-0.22,2.3059589,18/3/2019,0.411,3457.0,38.0266,9.763,8.899,K2-18b
LTT 3780,c,Transit,GO,3557,2,4,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,45402.79,45402.98,4.67,Madhusudhan,12,10 18 34.7652 -11 43 4.21,8.204,21.98,3344.5,0.381,0.377,4.873,12.252202,0.076,89.13,0.024,0.208,15.54,4.0,358.8,0.3,1.5,99.86,0.0,X,0.09,,,LTT 3780 c,LTT 3780 c,1.0,LTT 3780,8.04,0.5,-0.48,3.24,0.55,-0.43,359.0,c,12.252284,0.0757,2.39,0.1,-0.11,1.54,26/3/2024,0.38,3358.0,21.9814,9.007,8.204001,LTT 3780c
TOI-1231,b,Transit,GO,3557,2,2,Executed,BOTS,G395H,SUB2048,NRSRAPID,7,45412.12,45412.39,7.36,Madhusudhan,12,10 26 59.3375 -52 28 4.16,8.069,27.62,3544.0,0.485,0.471,4.808,24.2455413,0.129,89.73,0.048,0.336,12.18,1.94,326.7,0.6,3.3,130.1,0.0,X,0.04,clear,no,TOI-1231 b,TOI-1231 b,1.0,TOI-1231,15.4,3.3,-3.3,1.74,0.47,-0.42,329.6,b,24.245586,0.1288,3.65,0.16,-0.15,3.24,9/11/2021,0.476,3553.0,27.6227,8.876,8.069,TOI-1231b
LTT 3780,c,Transit,GO,3557,2,5,Executed,BOTS,G395H,SUB2048,NRSRAPID,7,45439.57,45439.75,4.6,Madhusudhan,12,10 18 34.7652 -11 43 4.21,8.204,21.98,3344.5,0.381,0.377,4.873,12.252202,0.076,89.13,0.024,0.208,15.54,4.0,358.8,0.3,1.5,99.86,0.0,X,0.09,,,LTT 3780 c,LTT 3780 c,1.0,LTT 3780,8.04,0.5,-0.48,3.24,0.55,-0.43,359.0,c,12.252284,0.0757,2.39,0.1,-0.11,1.54,26/3/2024,0.38,3358.0,21.9814,9.007,8.204001,LTT 3780c
K2-18,b,Transit,GO,2372,1,7,Executed,BOTS,G395H,SUB2048,NRSRAPID,16,45440.8,45441.23,11.34,Hu,12,11 30 14.4338 +07 35 16.19,8.899,38.03,3457.0,0.413,0.411,4.786,32.9398375,0.146,89.58,0.027,0.203,18.6,4.89,279.6,0.3,2.7,38.9,0.0,X,0.12,,,K2-18 b,K2-18 b,1.0,K2-18,8.92,1.7,-1.6,4.11,1.72,-1.18,284.0,b,32.939623,0.1429,2.37,0.22,-0.22,2.3059589,18/3/2019,0.411,3457.0,38.0266,9.763,8.899,K2-18b
GJ 9827,d,Transit,GO,4098,2,10,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45451.12,45451.33,5.09,Benneke,0,23 27 5.2388 -01 17 7.13,7.193,29.66,4255.0,0.62,0.602,4.68,6.2014698,0.056,87.44,0.01,0.18,8.98,2.66,671.8,0.1,1.2,175.62,0.41,X,-0.29,,,GJ 9827 d,GJ 9827 d,1.0,GJ 9827,3.02,0.58,-0.57,2.51,0.57,-0.51,675.0,d,6.20183,0.053,1.98,0.11,-0.1,1.248,15/10/2024,0.58,4236.0,29.661,7.984,7.193,GJ 9827d
