wavelength,wavelength_err
0.5132758617401123,0.0013508051633834839
0.5159869194030762,0.0013706684112548828
0.5187585353851318,0.001394525170326233
0.5215650200843811,0.0014147758483886719
0.5244176387786865,0.0014401078224182129
0.527325451374054,0.0014607161283493042
0.5302605032920837,0.00148753821849823
0.5332756042480469,0.0015148520469665527
0.53631991147995,0.0015368610620498657
0.5394230484962463,0.0015664398670196533
0.5425856709480286,0.0014816075563430786
0.5453494787216187,0.0015097707509994507
0.5486247539520264,0.00164814293384552
0.5519420504570007,0.0016707628965377808
0.5553078055381775,0.001704573631286621
0.5587603449821472,0.0017388314008712769
0.5622631311416626,0.0017648488283157349
0.5658197402954102,0.0017990320920944214
0.5694592595100403,0.0018368512392044067
0.5731671452522278,0.001869484782218933
0.576937198638916,0.001901477575302124
0.5807730555534363,0.0019401907920837402
0.584697961807251,0.001981988549232483
0.5887010097503662,0.002020105719566345
0.5927783846855164,0.0020581483840942383
0.5969336032867432,0.0020980089902877808
0.6011704206466675,0.0021398812532424927
0.6054931282997131,0.002186805009841919
0.6099176406860352,0.002234742045402527
0.6144320964813232,0.00228060781955719
0.6190400719642639,0.0023282617330551147
0.6237451434135437,0.0023777037858963013
0.6285508871078491,0.0024289190769195557
0.6334608197212219,0.002481892704963684
0.6384784579277039,0.0025366097688674927
0.6436072587966919,0.0025930851697921753
0.6488507986068726,0.0026512742042541504
0.6542123556137085,0.0027111470699310303
0.6596953868865967,0.0027727484703063965
0.6653033494949341,0.00283794105052948
0.6710471510887146,0.0029071271419525146
0.6769318580627441,0.0029765963554382324
0.6829535365104675,0.003045886754989624
0.6891154050827026,0.003116786479949951
0.6954206824302673,0.003194570541381836
0.70189368724823,0.003275841474533081
0.7085240483283997,0.003353789448738098
0.7153088450431824,0.003438323736190796
0.7222773432731628,0.0035268664360046387
0.7294163107872009,0.0036146044731140137
0.7367357611656189,0.003708094358444214
0.7442486882209778,0.003803938627243042
0.7519515156745911,0.0039020925760269165
0.7598570585250854,0.004005566239356995
0.767973780632019,0.004109472036361694
0.7762949466705322,0.004218563437461853
0.7848480343818665,0.0043333470821380615
0.7936283349990845,0.004447966814041138
0.802639901638031,0.004565998911857605
0.8118923306465149,0.004688635468482971
0.8213944435119629,0.004815533757209778
0.831154465675354,0.0049469321966171265
0.8411821722984314,0.005082383751869202
0.8514840006828308,0.00522083044052124
0.8620654940605164,0.005362018942832947
0.8729320764541626,0.005505844950675964
0.8840888738632202,0.00565202534198761
0.895540177822113,0.005803167819976807
0.9073015451431274,0.005958333611488342
0.9193735122680664,0.006113499402999878
0.931755542755127,0.006273016333580017
0.9444655776023865,0.00643487274646759
0.9574950337409973,0.0065965354442596436
0.970851719379425,0.006762206554412842
0.9845438599586487,0.006928384304046631
0.9985652565956116,0.007093653082847595
1.012918472290039,0.007259801030158997
1.0276044607162476,0.0074259936809539795
1.042622447013855,0.007591336965560913
1.0579698085784912,0.0077547430992126465
1.0736414194107056,0.007915198802947998
1.0896306037902832,0.008072584867477417
1.1059317588806152,0.00822785496711731
1.1225420236587524,0.008379966020584106
1.1394516229629517,0.008526027202606201
1.1566461324691772,0.008668243885040283
1.1741245985031128,0.008804678916931152
1.1918648481369019,0.008934736251831055
1.209863543510437,0.009058982133865356
1.2281007766723633,0.00917506217956543
1.2465637922286987,0.009285211563110352
1.2652416229248047,0.009387940168380737
1.2841155529022217,0.00948229432106018
1.3031708002090454,0.009571224451065063
1.322400450706482,0.009653031826019287
1.3417829275131226,0.009725242853164673
1.3613014221191406,0.009789079427719116
1.380939245223999,0.009844928979873657
1.4006811380386353,0.009893298149108887
1.4205124378204346,0.009934395551681519
1.4404187202453613,0.009968370199203491
1.4603859186172485,0.009995520114898682
1.480400800704956,0.010016143321990967
1.5004504919052124,0.010030537843704224
1.520522952079773,0.010038822889328003
1.5406057834625244,0.010040462017059326
1.5606848001480103,0.01003679633140564
1.580752968788147,0.010029315948486328
1.6008020639419556,0.010017544031143188
1.6208231449127197,0.010001510381698608
1.64080810546875,0.00998157262802124
1.6607494354248047,0.009958058595657349
1.6806403398513794,0.009931236505508423
1.7004743814468384,0.00990140438079834
1.7202459573745728,0.009868830442428589
1.7399497032165527,0.00983378291130066
1.7595810890197754,0.009797126054763794
1.779138207435608,0.009759873151779175
1.798620581626892,0.00972050428390503
1.818020224571228,0.009678125381469727
1.837333083152771,0.009634017944335938
1.8565562963485718,0.009588479995727539
1.8756870031356812,0.009541898965835571
1.894723892211914,0.009494632482528687
1.913665533065796,0.009446650743484497
1.932510495185852,0.009397894144058228
1.9512571096420288,0.009348303079605103
1.9699037075042725,0.009298443794250488
1.9884508848190308,0.009248614311218262
2.0068981647491455,0.009199827909469604
2.025250196456909,0.0091513991355896
2.043503761291504,0.009101569652557373
2.0616564750671387,0.009050607681274414
2.0797061920166016,0.008999764919281006
2.0976555347442627,0.008949220180511475
2.1155030727386475,0.008898556232452393
2.1332497596740723,0.008848309516906738
2.1508963108062744,0.008798062801361084
2.1684420108795166,0.008748173713684082
2.1858890056610107,0.008698582649230957
2.2032363414764404,0.008649170398712158
2.2204856872558594,0.008600294589996338
2.237637519836426,0.008549213409423828
2.2546825408935547,0.008497238159179688
2.2716264724731445,0.008447468280792236
2.2884724140167236,0.008399665355682373
2.305225133895874,0.008353173732757568
2.321885108947754,0.008306443691253662
2.3384509086608887,0.008260190486907959
2.3549258708953857,0.008214950561523438
2.3713107109069824,0.008169710636138916
2.3876047134399414,0.008124709129333496
2.4038095474243164,0.008080601692199707
2.4199271202087402,0.008037030696868896
2.435957670211792,0.007993698120117188
2.451901912689209,0.00795060396194458
2.4677600860595703,0.007908999919891357
2.4835379123687744,0.007870078086853027
2.4992403984069824,0.007830977439880371
2.514861822128296,0.00779038667678833
2.5304019451141357,0.007749795913696289
2.545861005783081,0.0077095627784729
2.5612401962280273,0.007669806480407715
2.576540231704712,0.007630407810211182
2.591761827468872,0.0075914859771728516
2.6069061756134033,0.0075531005859375
2.621974229812622,0.0075151920318603516
2.6369669437408447,0.007477700710296631
2.6518850326538086,0.0074405670166015625
2.666729211807251,0.007403850555419922
2.6815004348754883,0.007367551326751709
2.696199417114258,0.007331669330596924
2.710827112197876,0.007293283939361572
2.725372552871704,0.00725400447845459
2.7398431301116943,0.007218003273010254
2.754244565963745,0.00718379020690918
2.768578290939331,0.007150173187255859
2.7828452587127686,0.007116913795471191
2.797045946121216,0.0070839524269104
2.81118106842041,0.00705111026763916
2.8252503871917725,0.0070188045501708984
2.8392562866210938,0.006987094879150391
2.853198766708374,0.006955742835998535
2.867079257965088,0.006924629211425781
2.880897283554077,0.006893575191497803
2.894653558731079,0.006863117218017578
2.9083497524261475,0.006833255290985107
2.9219865798950195,0.006803452968597412
2.935563564300537,0.006773769855499268
2.9490816593170166,0.0067465901374816895
2.962549924850464,0.006720185279846191
2.9759624004364014,0.00669175386428833
2.989316940307617,0.0066634416580200195
3.0026161670684814,0.006635785102844238
3.015860080718994,0.006607949733734131
3.029047966003418,0.006580531597137451
3.042182207107544,0.006553590297698975
3.055262327194214,0.006526648998260498
3.068288803100586,0.006500422954559326
3.081264019012451,0.0064740777015686035
3.0941851139068604,0.006447970867156982
3.107055902481079,0.00642240047454834
3.1198747158050537,0.006396889686584473
3.132643461227417,0.006371915340423584
3.145362377166748,0.006346940994262695
3.1580312252044678,0.006322324275970459
3.17065167427063,0.006297886371612549
3.183222770690918,0.006273984909057617
3.1957476139068604,0.006250262260437012
3.208223819732666,0.006226599216461182
3.220654010772705,0.0062032341957092285
3.233036756515503,0.006179988384246826
3.2453739643096924,0.006157040596008301
3.257664918899536,0.0061342716217041016
3.269911050796509,0.006111860275268555
3.2821123600006104,0.006089389324188232
3.2942686080932617,0.006067454814910889
3.306382179260254,0.0060454607009887695
3.318450450897217,0.006023705005645752
3.330476999282837,0.0060024261474609375
3.3424601554870605,0.005981028079986572
3.354401111602783,0.0059601664543151855
3.3663008213043213,0.005939126014709473
3.378157615661621,0.005918323993682861
3.3899741172790527,0.005898118019104004
3.401750087738037,0.005877673625946045
3.413484811782837,0.005856692790985107
3.4251768589019775,0.005835115909576416
3.4368252754211426,0.005814075469970703
3.4484331607818604,0.005794405937194824
3.460002899169922,0.005775272846221924
3.471534252166748,0.005755901336669922
3.4830265045166016,0.0057367682456970215
3.494481325149536,0.005718231201171875
3.505899429321289,0.005699515342712402
3.5172793865203857,0.005680739879608154
3.5286223888397217,0.00566256046295166
3.5399296283721924,0.005644619464874268
3.5512008666992188,0.005626320838928223
3.5624349117279053,0.005608260631561279
3.573633909225464,0.00559079647064209
3.5847980976104736,0.005573391914367676
