CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
2.873,,0.06418,0.00254,-0.00254,Alderson et al. 2024,0.02533,0.0005,-0.00051,Calculated,0.1639,0.0041,-0.0041,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
2.893,,0.05845,0.0023,-0.0023,Alderson et al. 2024,0.02418,0.00047,-0.00048,Calculated,0.1565,0.0039,-0.0039,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
2.9135,,0.06262,0.00221,-0.00221,Alderson et al. 2024,0.02502,0.00044,-0.00045,Calculated,0.1619,0.0038,-0.0038,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
2.934,,0.05942,0.00199,-0.00199,Alderson et al. 2024,0.02438,0.0004,-0.00041,Calculated,0.1577,0.0035,-0.0035,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
2.954,,0.05975,0.00199,-0.00199,Alderson et al. 2024,0.02444,0.0004,-0.00041,Calculated,0.1582,0.0035,-0.0035,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
2.974,,0.06524,0.00216,-0.00216,Alderson et al. 2024,0.02554,0.00042,-0.00043,Calculated,0.1653,0.0037,-0.0037,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
2.9945,,0.06221,0.00189,-0.00189,Alderson et al. 2024,0.02494,0.00038,-0.00038,Calculated,0.1614,0.0034,-0.0034,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
3.015,,0.05955,0.00196,-0.00196,Alderson et al. 2024,0.0244,0.0004,-0.00041,Calculated,0.1579,0.0035,-0.0035,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
3.035,,0.05967,0.00187,-0.00187,Alderson et al. 2024,0.02443,0.00038,-0.00039,Calculated,0.1581,0.0034,-0.0034,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
3.055,,0.05822,0.00194,-0.00194,Alderson et al. 2024,0.02413,0.0004,-0.0004,Calculated,0.1561,0.0035,-0.0035,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
3.0755,,0.06377,0.00203,-0.00203,Alderson et al. 2024,0.02525,0.0004,-0.00041,Calculated,0.1634,0.0036,-0.0036,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
3.096,,0.06344,0.00183,-0.00183,Alderson et al. 2024,0.02519,0.00036,-0.00037,Calculated,0.163,0.0034,-0.0034,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
3.116,,0.06221,0.00193,-0.00193,Alderson et al. 2024,0.02494,0.00038,-0.00039,Calculated,0.1614,0.0035,-0.0035,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
3.1365,,0.06193,0.00181,-0.00181,Alderson et al. 2024,0.02489,0.00036,-0.00037,Calculated,0.161,0.0034,-0.0034,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
3.157,,0.06523,0.00187,-0.00187,Alderson et al. 2024,0.02554,0.00036,-0.00037,Calculated,0.1653,0.0034,-0.0034,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
3.177,,0.06604,0.0021,-0.0021,Alderson et al. 2024,0.0257,0.00041,-0.00041,Calculated,0.1663,0.0036,-0.0036,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
3.197,,0.06271,0.00211,-0.00211,Alderson et al. 2024,0.02504,0.00042,-0.00042,Calculated,0.162,0.0037,-0.0037,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
3.2175,,0.06131,0.00189,-0.00189,Alderson et al. 2024,0.02476,0.00038,-0.00039,Calculated,0.1602,0.0035,-0.0035,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
3.238,,0.06148,0.00192,-0.00192,Alderson et al. 2024,0.0248,0.00038,-0.00039,Calculated,0.1605,0.0035,-0.0035,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
3.258,,0.05761,0.00215,-0.00215,Alderson et al. 2024,0.024,0.00044,-0.00045,Calculated,0.1553,0.0037,-0.0037,Calculated,,,,0.665,0.01,-0.01,Hawthorn et al. 2023
