CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
0.953,0.01,0.09569,0.00501,-0.00539,Piaulet-Ghorayeb et al. 2024,0.03093,0.0008,-0.00088,Calculated,0.1746,0.0102,-0.0102,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.963,0.01,0.10636,0.00542,-0.00536,Piaulet-Ghorayeb et al. 2024,0.03261,0.00082,-0.00083,Calculated,0.1841,0.0106,-0.0106,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.973,0.01,0.09718,0.00482,-0.00492,Piaulet-Ghorayeb et al. 2024,0.03117,0.00076,-0.0008,Calculated,0.1759,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.9825,0.009,0.09806,0.00474,-0.00461,Piaulet-Ghorayeb et al. 2024,0.03131,0.00075,-0.00074,Calculated,0.1767,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.992,0.01,0.10217,0.00467,-0.00457,Piaulet-Ghorayeb et al. 2024,0.03196,0.00072,-0.00072,Calculated,0.1804,0.0102,-0.0102,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.002,0.01,0.10393,0.00451,-0.00461,Piaulet-Ghorayeb et al. 2024,0.03224,0.00069,-0.00072,Calculated,0.182,0.0102,-0.0102,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.012,0.01,0.09891,0.00459,-0.00456,Piaulet-Ghorayeb et al. 2024,0.03145,0.00072,-0.00073,Calculated,0.1775,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.022,0.01,0.09055,0.00531,-0.00523,Piaulet-Ghorayeb et al. 2024,0.03009,0.00087,-0.00088,Calculated,0.1698,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.032,0.01,0.1019,0.00496,-0.00483,Piaulet-Ghorayeb et al. 2024,0.03192,0.00077,-0.00077,Calculated,0.1802,0.0103,-0.0103,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.0425,0.011,0.09762,0.00468,-0.00471,Piaulet-Ghorayeb et al. 2024,0.03124,0.00074,-0.00076,Calculated,0.1763,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.0535,0.011,0.09593,0.00446,-0.00429,Piaulet-Ghorayeb et al. 2024,0.03097,0.00071,-0.0007,Calculated,0.1748,0.0099,-0.0099,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.064,0.01,0.09961,0.0046,-0.00457,Piaulet-Ghorayeb et al. 2024,0.03156,0.00072,-0.00073,Calculated,0.1781,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.074,0.01,0.09431,0.00424,-0.00429,Piaulet-Ghorayeb et al. 2024,0.03071,0.00068,-0.00071,Calculated,0.1733,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.085,0.012,0.0961,0.00441,-0.00462,Piaulet-Ghorayeb et al. 2024,0.031,0.0007,-0.00075,Calculated,0.175,0.0099,-0.0099,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.096,0.01,0.09365,0.005,-0.00471,Piaulet-Ghorayeb et al. 2024,0.0306,0.00081,-0.00078,Calculated,0.1727,0.01,-0.01,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.1065,0.011,0.09605,0.00425,-0.00437,Piaulet-Ghorayeb et al. 2024,0.03099,0.00068,-0.00071,Calculated,0.1749,0.0099,-0.0099,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.118,0.012,0.09627,0.00423,-0.00417,Piaulet-Ghorayeb et al. 2024,0.03103,0.00067,-0.00068,Calculated,0.1751,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.1295,0.011,0.094,0.00395,-0.00401,Piaulet-Ghorayeb et al. 2024,0.03066,0.00064,-0.00066,Calculated,0.173,0.0097,-0.0097,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.1405,0.011,0.09857,0.00356,-0.00362,Piaulet-Ghorayeb et al. 2024,0.0314,0.00056,-0.00058,Calculated,0.1772,0.0097,-0.0097,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.152,0.012,0.10009,0.00397,-0.00401,Piaulet-Ghorayeb et al. 2024,0.03164,0.00062,-0.00064,Calculated,0.1786,0.0099,-0.0099,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.1635,0.011,0.09836,0.00366,-0.00375,Piaulet-Ghorayeb et al. 2024,0.03136,0.00058,-0.0006,Calculated,0.177,0.0097,-0.0097,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.175,0.012,0.10123,0.00348,-0.00339,Piaulet-Ghorayeb et al. 2024,0.03182,0.00054,-0.00054,Calculated,0.1796,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.187,0.012,0.09454,0.00398,-0.00398,Piaulet-Ghorayeb et al. 2024,0.03075,0.00064,-0.00065,Calculated,0.1735,0.0097,-0.0097,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.199,0.012,0.10046,0.00398,-0.00412,Piaulet-Ghorayeb et al. 2024,0.0317,0.00062,-0.00066,Calculated,0.1789,0.0099,-0.0099,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.2105,0.011,0.09848,0.00408,-0.00413,Piaulet-Ghorayeb et al. 2024,0.03138,0.00064,-0.00067,Calculated,0.1771,0.0099,-0.0099,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.2225,0.013,0.09105,0.00423,-0.00406,Piaulet-Ghorayeb et al. 2024,0.03017,0.00069,-0.00068,Calculated,0.1703,0.0096,-0.0096,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.235,0.012,0.10017,0.00375,-0.00375,Piaulet-Ghorayeb et al. 2024,0.03165,0.00059,-0.0006,Calculated,0.1786,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.2475,0.013,0.09941,0.00403,-0.00423,Piaulet-Ghorayeb et al. 2024,0.03153,0.00063,-0.00068,Calculated,0.178,0.0099,-0.0099,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.26,0.012,0.09285,0.00452,-0.00429,Piaulet-Ghorayeb et al. 2024,0.03047,0.00073,-0.00071,Calculated,0.172,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.2725,0.013,0.10075,0.00387,-0.00366,Piaulet-Ghorayeb et al. 2024,0.03174,0.0006,-0.00058,Calculated,0.1791,0.0099,-0.0099,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.285,0.012,0.09247,0.00419,-0.00421,Piaulet-Ghorayeb et al. 2024,0.03041,0.00068,-0.0007,Calculated,0.1716,0.0097,-0.0097,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.298,0.014,0.09612,0.00407,-0.00401,Piaulet-Ghorayeb et al. 2024,0.031,0.00065,-0.00065,Calculated,0.175,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.311,0.012,0.10353,0.00398,-0.00387,Piaulet-Ghorayeb et al. 2024,0.03218,0.00061,-0.00061,Calculated,0.1816,0.01,-0.01,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.324,0.014,0.098,0.00424,-0.00401,Piaulet-Ghorayeb et al. 2024,0.0313,0.00067,-0.00065,Calculated,0.1767,0.0099,-0.0099,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.3375,0.013,0.0999,0.00369,-0.00356,Piaulet-Ghorayeb et al. 2024,0.03161,0.00058,-0.00057,Calculated,0.1784,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.351,0.014,0.09983,0.00385,-0.00386,Piaulet-Ghorayeb et al. 2024,0.0316,0.0006,-0.00062,Calculated,0.1783,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.3645,0.013,0.09492,0.00396,-0.00378,Piaulet-Ghorayeb et al. 2024,0.03081,0.00064,-0.00062,Calculated,0.1739,0.0097,-0.0097,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.378,0.014,0.10013,0.00431,-0.00418,Piaulet-Ghorayeb et al. 2024,0.03164,0.00067,-0.00067,Calculated,0.1786,0.01,-0.01,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.3915,0.013,0.0958,0.00445,-0.00428,Piaulet-Ghorayeb et al. 2024,0.03095,0.00071,-0.0007,Calculated,0.1747,0.0099,-0.0099,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.4055,0.015,0.10036,0.00438,-0.00469,Piaulet-Ghorayeb et al. 2024,0.03168,0.00068,-0.00075,Calculated,0.1788,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.4195,0.013,0.09823,0.00357,-0.00344,Piaulet-Ghorayeb et al. 2024,0.03134,0.00056,-0.00055,Calculated,0.1769,0.0097,-0.0097,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.4335,0.015,0.10618,0.00392,-0.00387,Piaulet-Ghorayeb et al. 2024,0.03259,0.0006,-0.0006,Calculated,0.1839,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.4485,0.015,0.10046,0.00371,-0.00363,Piaulet-Ghorayeb et al. 2024,0.0317,0.00058,-0.00058,Calculated,0.1789,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.463,0.014,0.09829,0.00435,-0.00387,Piaulet-Ghorayeb et al. 2024,0.03135,0.00069,-0.00062,Calculated,0.1769,0.0099,-0.0099,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.4775,0.015,0.09788,0.004,-0.00378,Piaulet-Ghorayeb et al. 2024,0.03129,0.00063,-0.00061,Calculated,0.1766,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.492,0.014,0.09948,0.00445,-0.0046,Piaulet-Ghorayeb et al. 2024,0.03154,0.0007,-0.00074,Calculated,0.178,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.507,0.016,0.10429,0.00431,-0.00437,Piaulet-Ghorayeb et al. 2024,0.03229,0.00066,-0.00068,Calculated,0.1823,0.0102,-0.0102,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.5225,0.015,0.09805,0.00384,-0.00373,Piaulet-Ghorayeb et al. 2024,0.03131,0.00061,-0.0006,Calculated,0.1767,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.5375,0.015,0.09976,0.00353,-0.00361,Piaulet-Ghorayeb et al. 2024,0.03158,0.00055,-0.00058,Calculated,0.1783,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.553,0.016,0.09481,0.00374,-0.00366,Piaulet-Ghorayeb et al. 2024,0.03079,0.0006,-0.0006,Calculated,0.1738,0.0096,-0.0096,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.5685,0.015,0.09607,0.00378,-0.00404,Piaulet-Ghorayeb et al. 2024,0.031,0.0006,-0.00066,Calculated,0.1749,0.0097,-0.0097,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.584,0.016,0.101,0.0041,-0.00431,Piaulet-Ghorayeb et al. 2024,0.03178,0.00064,-0.00069,Calculated,0.1794,0.01,-0.01,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.6,0.016,0.0917,0.00363,-0.00354,Piaulet-Ghorayeb et al. 2024,0.03028,0.00059,-0.00059,Calculated,0.1709,0.0095,-0.0095,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.6155,0.015,0.08945,0.00405,-0.00386,Piaulet-Ghorayeb et al. 2024,0.02991,0.00067,-0.00065,Calculated,0.1688,0.0095,-0.0095,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.6315,0.017,0.09201,0.00442,-0.00402,Piaulet-Ghorayeb et al. 2024,0.03033,0.00072,-0.00067,Calculated,0.1712,0.0097,-0.0097,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.6485,0.017,0.09836,0.00362,-0.00338,Piaulet-Ghorayeb et al. 2024,0.03136,0.00057,-0.00054,Calculated,0.177,0.0097,-0.0097,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.665,0.016,0.09537,0.00409,-0.00419,Piaulet-Ghorayeb et al. 2024,0.03088,0.00066,-0.00069,Calculated,0.1743,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.6815,0.017,0.09993,0.00389,-0.0039,Piaulet-Ghorayeb et al. 2024,0.03161,0.00061,-0.00062,Calculated,0.1784,0.0099,-0.0099,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.6985,0.017,0.09699,0.00401,-0.00408,Piaulet-Ghorayeb et al. 2024,0.03114,0.00064,-0.00066,Calculated,0.1758,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.7155,0.017,0.10054,0.00402,-0.00412,Piaulet-Ghorayeb et al. 2024,0.03171,0.00063,-0.00066,Calculated,0.179,0.0099,-0.0099,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.7325,0.017,0.09966,0.0037,-0.00359,Piaulet-Ghorayeb et al. 2024,0.03157,0.00058,-0.00057,Calculated,0.1782,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.7495,0.017,0.10324,0.00424,-0.00399,Piaulet-Ghorayeb et al. 2024,0.03213,0.00065,-0.00063,Calculated,0.1813,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.767,0.018,0.09724,0.0044,-0.00457,Piaulet-Ghorayeb et al. 2024,0.03118,0.0007,-0.00074,Calculated,0.176,0.01,-0.01,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.785,0.018,0.09593,0.00514,-0.00502,Piaulet-Ghorayeb et al. 2024,0.03097,0.00082,-0.00082,Calculated,0.1748,0.0102,-0.0102,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.8025,0.017,0.10464,0.00488,-0.00469,Piaulet-Ghorayeb et al. 2024,0.03235,0.00075,-0.00073,Calculated,0.1826,0.0103,-0.0103,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.8205,0.019,0.09755,0.00551,-0.00505,Piaulet-Ghorayeb et al. 2024,0.03123,0.00087,-0.00082,Calculated,0.1763,0.0103,-0.0103,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.839,0.018,0.0964,0.00534,-0.00519,Piaulet-Ghorayeb et al. 2024,0.03105,0.00085,-0.00085,Calculated,0.1752,0.0102,-0.0102,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.857,0.018,0.10236,0.00407,-0.00422,Piaulet-Ghorayeb et al. 2024,0.03199,0.00063,-0.00067,Calculated,0.1806,0.01,-0.01,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.8755,0.019,0.10027,0.00445,-0.0044,Piaulet-Ghorayeb et al. 2024,0.03167,0.0007,-0.0007,Calculated,0.1787,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.8945,0.019,0.10002,0.00444,-0.00453,Piaulet-Ghorayeb et al. 2024,0.03163,0.00069,-0.00072,Calculated,0.1785,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.9135,0.019,0.1014,0.00452,-0.0043,Piaulet-Ghorayeb et al. 2024,0.03184,0.0007,-0.00068,Calculated,0.1797,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.9325,0.019,0.09251,0.00445,-0.0045,Piaulet-Ghorayeb et al. 2024,0.03042,0.00072,-0.00075,Calculated,0.1717,0.0098,-0.0098,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
1.952,0.02,0.1002,0.00456,-0.00478,Piaulet-Ghorayeb et al. 2024,0.03165,0.00071,-0.00076,Calculated,0.1787,0.0101,-0.0101,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
