wavelength,depth,depth_err_lo,depth_err_hi,absolute_depth,absolute_depth_err_lo,absolute_depth_err_hi,absolute_disagreement,fixed_power2_linear_depth,fixed_power2_linear_depth_err_lo,fixed_power2_linear_depth_err_hi,fixed_power2_linear_weight,fixed_power2_linear_achromatic_offset,fixed_power2_linear_achromatic_offset_err,uniform_quadratic_linear_depth,uniform_quadratic_linear_depth_err_lo,uniform_quadratic_linear_depth_err_hi,uniform_quadratic_linear_weight,uniform_quadratic_linear_achromatic_offset,uniform_quadratic_linear_achromatic_offset_err,sing_quadratic_linear_fitted_v2_depth,sing_quadratic_linear_fitted_v2_depth_err_lo,sing_quadratic_linear_fitted_v2_depth_err_hi,sing_quadratic_linear_fitted_v2_weight,sing_quadratic_linear_fitted_v2_achromatic_offset,sing_quadratic_linear_fitted_v2_achromatic_offset_err,disagreement
2.9083497524261475,0.01904141964423478,0.00017361459337216292,0.00016271231313081877,0.0190379035510593,0.00017430261517718815,0.00016008440430076779,1.249035395095977,0.01891973925623972,0.00013620379278045033,0.00013151241509551728,0.27692816307965473,-4.351315817696196e-06,1.1636733074165346e-05,0.019079466214634355,0.00014976385400587017,0.00014304676808770192,0.7230718369203453,-7.816285539604547e-06,1.4687708373702337e-05,0.01900209536787878,0.0001383994965145456,0.0001461466647328831,6.259234667030379e-17,1.3749090748343444e-05,1.2932526905458845e-05,1.2562814525551673
2.9219865798950195,0.018882075739000893,0.00011920923919947826,0.00011427723687185143,0.01887948825730747,0.00011893801939017942,0.00011425757392427918,0.9994329085539034,0.018879655092529896,0.0001191350573733832,0.00011419285420386643,0.9999999999999996,-4.351315817696196e-06,1.1636733074165346e-05,0.01895111018279704,0.00015534330413148958,0.00012476461781058337,3.8857805861880464e-16,-7.816285539604547e-06,1.4687708373702337e-05,0.01889634731796304,0.0001327507668942192,0.0001288989446535764,0.0,1.3749090748343444e-05,1.2932526905458845e-05,1.0006795779082245
2.935563564300537,0.018941581197143172,9.989889905929333e-05,0.00010842811130786639,0.018938565010447918,9.910156755396637e-05,0.0001127943915867416,1.063913912383062,0.018935293712393476,9.857428150209305e-05,0.00010059217047716715,0.8926884920442095,-4.351315817696196e-06,1.1636733074165346e-05,0.019038081554136395,0.0001279788664215499,0.00014808501983493497,0.0,-7.816285539604547e-06,1.4687708373702337e-05,0.01899781371218976,0.00012272860932930826,0.0001248570590851178,0.1073115079557905,1.3749090748343444e-05,1.2932526905458845e-05,1.0459944849991778
2.9490816593170166,0.018785299080662746,0.00011457428620015309,0.00011457261733873597,0.01878414778322959,0.00011345358123162133,0.00011172725179748808,0.9849449246317977,0.01878291586564766,0.00011517231002069334,0.00011345045598146544,0.9999999999999972,-4.351315817696196e-06,1.1636733074165346e-05,0.018765775596021522,0.00017065317897076854,0.00015882674030203228,2.8588242884097773e-15,-7.816285539604547e-06,1.4687708373702337e-05,0.01876901674496267,0.0001317015402495722,0.00013426714387221664,0.0,1.3749090748343444e-05,1.2932526905458845e-05,1.0022925868053112
2.962549924850464,0.01885802379166141,0.00012005531986682486,0.00011478823580747186,0.01885486354710601,0.00011968341938371069,0.00011380390019776615,0.9992144570442915,0.01885545935757342,0.00011992582299333657,0.00011374505510038102,1.0,-4.351315817696196e-06,1.1636733074165346e-05,0.01882192541266594,0.00014242079030588745,0.00014532327020033015,0.0,-7.816285539604547e-06,1.4687708373702337e-05,0.018851183994819387,0.00011266918915021906,0.00012509951379694254,0.0,1.3749090748343444e-05,1.2932526905458845e-05,1.0050185011934127
2.9759624004364014,0.01883826862443282,0.0001103053505459757,0.00010751861367112175,0.018836517813128856,0.00010974503090005125,0.0001104905245864693,1.0001143900842955,0.01883642513851085,0.00010985702974916634,0.00011035333585506998,0.9999999999999997,-4.351315817696196e-06,1.1636733074165346e-05,0.018892165939407967,0.0001532241716243575,0.0001325701583581966,2.7755575615628914e-17,-7.816285539604547e-06,1.4687708373702337e-05,0.018879390133542458,0.00012312673747612995,0.0001442971796333896,3.7470027081099033e-16,1.3749090748343444e-05,1.2932526905458845e-05,0.9891630833063157
2.989316940307617,0.018750911641592587,0.00013387339677995574,0.00012182385157077924,0.018765894072919394,0.00013669544074541504,0.00012360735204053341,1.0930489821375173,0.018734800231792578,0.00012026875989928215,0.00011787499855965902,0.0767921891642042,-4.351315817696196e-06,1.1636733074165346e-05,0.018720240625956057,0.0001514171059573341,0.00015242281944573277,0.0,-7.816285539604547e-06,1.4687708373702337e-05,0.01876927671904112,0.00013431382628624478,0.0001202621293909592,0.9232078108357957,1.3749090748343444e-05,1.2932526905458845e-05,1.073709636588356
3.002616167068481,0.018712159550973568,0.00010512084290583562,0.00011666673547253148,0.01870777344135774,0.00010514950114916266,0.00011763715108200137,0.9954674476517013,0.018708685104399,0.00010610941230500617,0.00011769162986539905,0.9999999999999993,-4.351315817696196e-06,1.1636733074165346e-05,0.01877437782724884,0.0001468455048133921,0.00015740178781863817,5.828670879282069e-16,-7.816285539604547e-06,1.4687708373702337e-05,0.018759523852921536,0.00011818955386941679,0.00011677428744055751,0.0,1.3749090748343444e-05,1.2932526905458845e-05,0.9910033314746362
3.015860080718994,0.018805510707629047,0.00010442323873560352,0.00011454085201583267,0.018802631616935003,0.00010475704264693506,0.00011521221407533033,1.0083606142415595,0.018802690752698574,0.00010412575967486126,0.00011401966728404045,1.0,-4.351315817696196e-06,1.1636733074165346e-05,0.018758627260653957,0.0001455855205960907,0.0001453464616783702,0.0,-7.816285539604547e-06,1.4687708373702337e-05,0.018789366138759485,0.0001295739941905849,0.00012053561545988592,0.0,1.3749090748343444e-05,1.2932526905458845e-05,1.003752834996118
3.029047966003418,0.018859304184101748,0.00011003207894524566,0.00010795709724739297,0.018857312154161067,0.00011259677562083792,0.00010605653582131114,0.9979046716697082,0.018856828054272974,0.0001111121016745785,0.00010800032223691122,0.9999999999999996,-4.351315817696196e-06,1.1636733074165346e-05,0.018944626383061942,0.00014392949917951814,0.00014326439330197144,5.551115123125781e-16,-7.816285539604547e-06,1.4687708373702337e-05,0.01889560078103971,0.00013815377811378024,0.0001305369889466751,0.0,1.3749090748343444e-05,1.2932526905458845e-05,0.9948736466020529
