wavelength,depth,depth_err_lo,depth_err_hi,absolute_depth,absolute_depth_err_lo,absolute_depth_err_hi,absolute_disagreement,fixed_power2_linear_depth,fixed_power2_linear_depth_err_lo,fixed_power2_linear_depth_err_hi,fixed_power2_linear_weight,fixed_power2_linear_achromatic_offset,fixed_power2_linear_achromatic_offset_err,uniform_quadratic_linear_uplus_v2_depth,uniform_quadratic_linear_uplus_v2_depth_err_lo,uniform_quadratic_linear_uplus_v2_depth_err_hi,uniform_quadratic_linear_uplus_v2_weight,uniform_quadratic_linear_uplus_v2_achromatic_offset,uniform_quadratic_linear_uplus_v2_achromatic_offset_err,sing_quadratic_linear_fitted_v2_depth,sing_quadratic_linear_fitted_v2_depth_err_lo,sing_quadratic_linear_fitted_v2_depth_err_hi,sing_quadratic_linear_fitted_v2_weight,sing_quadratic_linear_fitted_v2_achromatic_offset,sing_quadratic_linear_fitted_v2_achromatic_offset_err,disagreement
2.9083497524261475,0.018995525246994167,0.00015143555993873264,0.00017278959594640292,0.019000396193510537,0.0001559358095267055,0.00017662979097257323,1.242231851174867,0.01891973925623972,0.00013620379278045033,0.00013151241509551728,0.32291710250540867,-1.1356871299661184e-05,1.1636733074165346e-05,0.019129608218651263,0.000162594357321081,0.0001845903720583235,0.26584287229255893,5.73008008914342e-06,1.580339240865827e-05,0.01900209536787878,0.0001383994965145456,0.0001461466647328831,0.4112400252020324,6.1315898023596366e-06,1.2932526905458845e-05,1.2110777993514252
2.9219865798950195,0.018918028857580458,0.00013548321345450975,0.0001406060743045917,0.018915959115365595,0.00013328544454637575,0.00014922424351468747,1.2107839398696654,0.018879655092529896,0.0001191350573733832,0.00011419285420386643,0.706393681939244,-1.1356871299661184e-05,1.1636733074165346e-05,0.019035877552400046,0.00016804310216182727,0.00014797959027139374,0.2936063180607559,5.73008008914342e-06,1.580339240865827e-05,0.01889634731796304,0.0001327507668942192,0.0001288989446535764,0.0,6.1315898023596366e-06,1.2932526905458845e-05,1.1832672991961979
2.935563564300537,0.018944866163422912,0.00010001526462890403,0.0001083117457382557,0.018938565010447918,9.910156755396637e-05,0.0001127943915867416,1.063913912383062,0.018935293712393476,9.857428150209305e-05,0.00010059217047716715,0.8926884017223182,-1.1356871299661184e-05,1.1636733074165346e-05,0.01908074726216937,0.00015433068571353223,0.00014217115495189156,4.868067754459915e-17,5.73008008914342e-06,1.580339240865827e-05,0.01899781371218976,0.00012272860932930826,0.0001248570590851178,0.10731159827768175,6.1315898023596366e-06,1.2932526905458845e-05,1.0459944849991778
2.9490816593170166,0.018788467681372874,0.00011457428620015309,0.00011457261733873597,0.01878414778322959,0.00011345358123162133,0.00011172725179748808,0.9849449246317977,0.01878291586564766,0.00011517231002069334,0.00011345045598146544,0.9999999999999997,-1.1356871299661184e-05,1.1636733074165346e-05,0.01882042425553304,0.00015641143168882224,0.00015334271133268448,0.0,5.73008008914342e-06,1.580339240865827e-05,0.01876901674496267,0.0001317015402495722,0.00013426714387221664,3.05311331771918e-16,6.1315898023596366e-06,1.2932526905458845e-05,1.0022925868053112
2.962549924850464,0.01886119239237154,0.00012005531986682486,0.00011478823580747186,0.01885486354710601,0.00011968341938371069,0.00011380390019776615,0.9992144570442915,0.01885545935757342,0.00011992582299333657,0.00011374505510038102,1.0,-1.1356871299661184e-05,1.1636733074165346e-05,0.018801654193373266,0.00014509027323112225,0.0001444344355023032,0.0,5.73008008914342e-06,1.580339240865827e-05,0.018851183994819387,0.00011266918915021906,0.00012509951379694254,0.0,6.1315898023596366e-06,1.2932526905458845e-05,1.0050185011934127
2.9759624004364014,0.01884143722514295,0.0001103053505459757,0.00010751861367112175,0.018836517813128856,0.00010974503090005125,0.0001104905245864693,1.0001143900842955,0.01883642513851085,0.00010985702974916634,0.00011035333585506998,0.9999999999999999,-1.1356871299661184e-05,1.1636733074165346e-05,0.01887142162593112,0.00014717686604729177,0.00015799596529609064,0.0,5.73008008914342e-06,1.580339240865827e-05,0.018879390133542458,0.00012312673747612995,0.0001442971796333896,1.942890293094024e-16,6.1315898023596366e-06,1.2932526905458845e-05,0.9891630833063157
2.989316940307617,0.018716357514432232,0.00015649372919802895,0.00013679674589728297,0.01871666931561046,0.00014627489631951693,0.00013748084844853944,1.1915313111889902,0.018734800231792578,0.00012026875989928215,0.00011787499855965902,0.5449999755566786,-1.1356871299661184e-05,1.1636733074165346e-05,0.018668722471401507,0.00016245224798759964,0.00016057457862751756,0.3942265344979364,5.73008008914342e-06,1.580339240865827e-05,0.01876927671904112,0.00013431382628624478,0.0001202621293909592,0.06077348994538506,6.1315898023596366e-06,1.2932526905458845e-05,1.231569019457962
3.002616167068481,0.018715328151683697,0.00010512084290583562,0.00011666673547253148,0.01870777344135774,0.00010514950114916266,0.00011763715108200137,0.9954674476517013,0.018708685104399,0.00010610941230500617,0.00011769162986539905,0.9999999999999967,-1.1356871299661184e-05,1.1636733074165346e-05,0.018773141997115505,0.00014800610669941233,0.00014718291337061443,3.374470841643879e-15,5.73008008914342e-06,1.580339240865827e-05,0.018759523852921536,0.00011818955386941679,0.00011677428744055751,6.11532788109562e-17,6.1315898023596366e-06,1.2932526905458845e-05,0.9910033314746362
3.015860080718994,0.018808679308339175,0.00010442323873560352,0.00011454085201583267,0.018802631616935003,0.00010475704264693506,0.00011521221407533033,1.0083606142415595,0.018802690752698574,0.00010412575967486126,0.00011401966728404045,1.0,-1.1356871299661184e-05,1.1636733074165346e-05,0.018761957664335055,0.0001434013466302675,0.00014814031179717982,0.0,5.73008008914342e-06,1.580339240865827e-05,0.018789366138759485,0.0001295739941905849,0.00012053561545988592,0.0,6.1315898023596366e-06,1.2932526905458845e-05,1.003752834996118
3.029047966003418,0.018898470297577376,0.00012434784194977067,0.00015858655182831444,0.01889432513914697,0.0001235988896748988,0.0001691755830563607,1.3361838069461798,0.018856828054272974,0.0001111121016745785,0.00010800032223691122,0.6849533941342593,-1.1356871299661184e-05,1.1636733074165346e-05,0.019038189456381298,0.0001633608866527768,0.00016504285863047294,0.3150466058657408,5.73008008914342e-06,1.580339240865827e-05,0.01889560078103971,0.00013815377811378024,0.0001305369889466751,0.0,6.1315898023596366e-06,1.2932526905458845e-05,1.2912749935730536
