wavelength,depth,depth_err_lo,depth_err_hi,absolute_depth,absolute_depth_err_lo,absolute_depth_err_hi,absolute_disagreement,fixed_power2_linear_depth,fixed_power2_linear_depth_err_lo,fixed_power2_linear_depth_err_hi,fixed_power2_linear_weight,fixed_power2_linear_achromatic_offset,fixed_power2_linear_achromatic_offset_err,uniform_quadratic_linear_depth,uniform_quadratic_linear_depth_err_lo,uniform_quadratic_linear_depth_err_hi,uniform_quadratic_linear_weight,uniform_quadratic_linear_achromatic_offset,uniform_quadratic_linear_achromatic_offset_err,sing_quadratic_linear_depth,sing_quadratic_linear_depth_err_lo,sing_quadratic_linear_depth_err_hi,sing_quadratic_linear_weight,sing_quadratic_linear_achromatic_offset,sing_quadratic_linear_achromatic_offset_err,disagreement
2.9083497524261475,0.019046267619178544,0.00017361459337216292,0.00016271231313081877,0.0190379035510593,0.00017430261517718815,0.00016008440430076779,1.249035395095977,0.01891973925623972,0.00013620379278045033,0.00013151241509551728,0.27692818324686297,-1.1011528093293697e-05,1.1636733074165346e-05,0.019079466214634355,0.00014976385400587017,0.00014304676808770192,0.7230718167531361,-1.4515634526686959e-05,1.4687708373702337e-05,0.019015600243249137,0.00014218140430570514,0.00014607090003176254,9.420192219593976e-16,2.699049659503082e-05,1.2963964968440375e-05,1.2562814525551673
2.9219865798950195,0.01888688457723317,0.00011920923919947826,0.00011427723687185143,0.01887948825730747,0.00011893801939017942,0.00011425757392427918,0.9994329085539034,0.018879655092529896,0.0001191350573733832,0.00011419285420386643,0.9999999999999996,-1.1011528093293697e-05,1.1636733074165346e-05,0.01895111018279704,0.00015534330413148958,0.00012476461781058337,1.942890293094024e-16,-1.4515634526686959e-05,1.4687708373702337e-05,0.018924741712072868,0.00014146829825669935,0.00012064897054910387,2.498001805406602e-16,2.699049659503082e-05,1.2963964968440375e-05,1.0006795779082245
2.935563564300537,0.018960430475321217,0.00010458351724892262,0.00011872521328734967,0.018966784877677022,0.0001079652111707595,0.0001296676873557695,1.1931371782998597,0.018935293712393476,9.857428150209305e-05,0.00010059217047716715,0.5739289194798207,-1.1011528093293697e-05,1.1636733074165346e-05,0.019038081554136395,0.0001279788664215499,0.00014808501983493497,1.2375405469269504e-16,-1.4515634526686959e-05,1.4687708373702337e-05,0.019022218807126505,0.00011615913371301051,0.00012211938873400718,0.4260710805201793,2.699049659503082e-05,1.2963964968440375e-05,1.1212165920369266
2.9490816593170166,0.018790107918895023,0.00011457428620015309,0.00011457261733873597,0.01878414778322959,0.00011345358123162133,0.00011172725179748808,0.9849449246317977,0.01878291586564766,0.00011517231002069334,0.00011345045598146544,1.0,-1.1011528093293697e-05,1.1636733074165346e-05,0.018765775596021522,0.00017065317897076854,0.00015882674030203228,0.0,-1.4515634526686959e-05,1.4687708373702337e-05,0.01878276203597607,0.00013665717591693563,0.00013653765124826966,0.0,2.699049659503082e-05,1.2963964968440375e-05,1.0022925868053112
2.962549924850464,0.01886283262989369,0.00012005531986682486,0.00011478823580747186,0.01885486354710601,0.00011968341938371069,0.00011380390019776615,0.9992144570442915,0.01885545935757342,0.00011992582299333657,0.00011374505510038102,0.9999999999999996,-1.1011528093293697e-05,1.1636733074165346e-05,0.01882192541266594,0.00014242079030588745,0.00014532327020033015,3.122502256758253e-16,-1.4515634526686959e-05,1.4687708373702337e-05,0.01887513008643691,0.00012911885774070236,0.00012726072069731142,1.8041124150158794e-16,2.699049659503082e-05,1.2963964968440375e-05,1.0050185011934127
2.9759624004364014,0.018843077462665097,0.0001103053505459757,0.00010751861367112175,0.018836517813128856,0.00010974503090005125,0.0001104905245864693,1.0001143900842955,0.01883642513851085,0.00010985702974916634,0.00011035333585506998,0.9999999999999994,-1.1011528093293697e-05,1.1636733074165346e-05,0.018892165939407967,0.0001532241716243575,0.0001325701583581966,5.967448757360216e-16,-1.4515634526686959e-05,1.4687708373702337e-05,0.018905152022687107,0.00012673349247612625,0.00013981885258105078,0.0,2.699049659503082e-05,1.2963964968440375e-05,0.9891630833063157
2.989316940307617,0.01874432082894235,0.00013455917558762368,0.00012672434597364376,0.01875026972954927,0.00012947635243901884,0.0001316498608916125,1.096506643803779,0.018734800231792578,0.00012026875989928215,0.00011787499855965902,0.46616571453578287,-1.1011528093293697e-05,1.1636733074165346e-05,0.018720240625956057,0.0001514171059573341,0.00015242281944573277,0.12410463875637882,-1.4515634526686959e-05,1.4687708373702337e-05,0.0187797759119545,0.00013228088024353976,0.00012726570127886971,0.40972964670783835,2.699049659503082e-05,1.2963964968440375e-05,1.0971672037598912
3.002616167068481,0.018716968389205845,0.00010512084290583562,0.00011666673547253148,0.01870777344135774,0.00010514950114916266,0.00011763715108200137,1.0162759043603253,0.018708685104399,0.00010610941230500617,0.00011769162986539905,1.0,-1.1011528093293697e-05,1.1636733074165346e-05,0.01877437782724884,0.0001468455048133921,0.00015740178781863817,8.326672684688674e-17,-1.4515634526686959e-05,1.4687708373702337e-05,0.018772237249429873,0.00010228772583318127,0.00011693094428907522,0.0,2.699049659503082e-05,1.2963964968440375e-05,1.011718473863006
3.015860080718994,0.018810319545861324,0.00010442323873560352,0.00011454085201583267,0.018802631616935003,0.00010475704264693506,0.00011521221407533033,1.0083606142415595,0.018802690752698574,0.00010412575967486126,0.00011401966728404045,0.9999999999999993,-1.1011528093293697e-05,1.1636733074165346e-05,0.018758627260653957,0.0001455855205960907,0.0001453464616783702,6.99093560818653e-16,-1.4515634526686959e-05,1.4687708373702337e-05,0.0188035773290961,0.00012467729113562961,0.00013100569709463203,0.0,2.699049659503082e-05,1.2963964968440375e-05,1.003752834996118
3.029047966003418,0.018864113022334025,0.00011003207894524566,0.00010795709724739297,0.018857312154161067,0.00011259677562083792,0.00010605653582131114,0.9979046716697082,0.018856828054272974,0.0001111121016745785,0.00010800032223691122,1.0,-1.1011528093293697e-05,1.1636733074165346e-05,0.018944626383061942,0.00014392949917951814,0.00014326439330197144,5.551115123125783e-17,-1.4515634526686959e-05,1.4687708373702337e-05,0.018910202375477643,0.0001395239513885295,0.00013569337632206996,0.0,2.699049659503082e-05,1.2963964968440375e-05,0.9948736466020529
