wavelength,depth,depth_err_lo,depth_err_hi,absolute_depth,absolute_depth_err_lo,absolute_depth_err_hi,absolute_disagreement,informed_linear_depth,informed_linear_depth_err_lo,informed_linear_depth_err_hi,informed_linear_weight,informed_linear_achromatic_offset,informed_linear_achromatic_offset_err,uniform_linear_depth,uniform_linear_depth_err_lo,uniform_linear_depth_err_hi,uniform_linear_weight,uniform_linear_achromatic_offset,uniform_linear_achromatic_offset_err,fixed_linear_depth,fixed_linear_depth_err_lo,fixed_linear_depth_err_hi,fixed_linear_weight,fixed_linear_achromatic_offset,fixed_linear_achromatic_offset_err,informed_linear_step_depth,informed_linear_step_depth_err_lo,informed_linear_step_depth_err_hi,informed_linear_step_weight,informed_linear_step_achromatic_offset,informed_linear_step_achromatic_offset_err,disagreement
2.9083497524261475,0.022077199679823203,0.00010653228484009888,0.0001226087220859741,0.02208376425567462,0.0001061129512600241,0.00012633187515010552,1.1981572346059797,0.02182987840511689,0.00010149598504409496,9.252584471898875e-05,4.000582498952102e-14,-0.00011714163651406896,1.1661242925369728e-05,0.02222929845238428,0.00011964528329632546,0.00011077253370950571,0.175971183221599,0.00012231729742100708,1.3450887113717261e-05,0.021829903636229303,9.646711940837147e-05,9.753481931594823e-05,3.9808357652347303e-14,-0.00011415728430077645,1.1683427956192346e-05,0.02206623738748921,9.75519580973562e-05,9.735806089925664e-05,0.8240288167783213,0.00011013415715101208,1.1272803083095577e-05,1.1811274074517706
2.9219865798950195,0.02162290569466678,9.790049472837084e-05,8.676534493471527e-05,0.02160648512165992,0.00013161710217008196,9.883411775453085e-05,1.2477274066208555,0.021416048874501995,9.774489983138679e-05,8.96082693322732e-05,0.14005306732354014,-0.00011714163651406896,1.1661242925369728e-05,0.021579650785422747,0.00011758606526268353,0.00011053113148710644,0.0,0.00012231729742100708,1.3450887113717261e-05,0.02141808455068937,9.495845791383101e-05,9.777529886269981e-05,1.0504648501963657e-16,-0.00011415728430077645,1.1683427956192346e-05,0.02162653931576255,9.798976398641204e-05,8.670700447580351e-05,0.8599469326764598,0.00011013415715101208,1.1272803083095577e-05,0.9998325428247231
2.935563564300537,0.021721459779599404,8.326848708633053e-05,8.847752712448989e-05,0.02167855360322125,0.00017913508892430582,0.00012011392331729223,1.8108513357781713,0.02149686077981134,9.852001790745454e-05,8.579651055008394e-05,0.0,-0.00011714163651406896,1.1661242925369728e-05,0.021682050420318316,0.00011289508391237879,0.00011520065271673763,3.6359584346402285e-15,0.00012231729742100708,1.3450887113717261e-05,0.021498323283786196,7.949821411838004e-05,8.575500481193196e-05,0.30268510982386077,-0.00011415728430077645,1.1683427956192346e-05,0.021729545318056754,8.412922608865003e-05,8.894417209817998e-05,0.6973148901761356,0.00011013415715101208,1.1272803083095577e-05,1.0392899776629856
2.9490816593170166,0.021719433830967676,8.458868989513757e-05,8.015072731754752e-05,0.02172650125895517,8.603952935008416e-05,8.115901736488462e-05,1.014726402669203,0.021472196026907118,9.202816325335622e-05,9.526074459482309e-05,0.0,-0.00011714163651406896,1.1661242925369728e-05,0.02174984776298216,0.00010495168070778424,0.00010166217768911578,0.052651098677226615,0.00012231729742100708,1.3450887113717261e-05,0.021470053277366473,9.848223284295368e-05,0.00010674085203203967,0.0,-0.00011415728430077645,1.1683427956192346e-05,0.02172595867600774,8.487545498899601e-05,7.989659221028719e-05,0.9473489013227733,0.00011013415715101208,1.1272803083095577e-05,0.999801968919166
2.962549924850464,0.021720729026820904,9.057390895893941e-05,8.992542435643652e-05,0.02171869763213187,0.00011099089649867916,9.258155990368375e-05,1.1561137472120941,0.021491971767943333,9.136059375785405e-05,9.791544746125258e-05,0.08572584603760575,-0.00011714163651406896,1.1661242925369728e-05,0.02179611172047031,0.00010144810927068676,0.00011522553168378732,0.06360517499306316,0.00012231729742100708,1.3450887113717261e-05,0.021493744279907443,9.369055141504254e-05,9.612708432142972e-05,0.0,-0.00011415728430077645,1.1683427956192346e-05,0.021724447507736402,8.965539507425208e-05,8.642801963582025e-05,0.8506689789693311,0.00011013415715101208,1.1272803083095577e-05,1.0250785607070068
2.9759624004364014,0.02171293365248628,7.567315191254684e-05,8.447927210836204e-05,0.021719053034959898,7.567315191254684e-05,8.447927210836204e-05,1.0182666163224174,0.021491603145384917,8.701751429001509e-05,7.700794074583933e-05,0.0,-0.00011714163651406896,1.1661242925369728e-05,0.021682017426158367,9.938035234816414e-05,0.00010237973104600812,0.0,0.00012231729742100708,1.3450887113717261e-05,0.02149109694662865,7.896681085931001e-05,7.831264960195608e-05,0.0,-0.00011415728430077645,1.1683427956192346e-05,0.021719640903125503,7.425988380034554e-05,8.394806811045166e-05,1.0,0.00011013415715101208,1.1272803083095577e-05,1.0182666163224174
2.989316940307617,0.021446372237428346,8.666423763178596e-05,8.678078882643978e-05,0.021454111953461204,8.679284899348189e-05,8.722777412684471e-05,1.01367493123813,0.021240210644143737,8.826528102008971e-05,8.824907699503046e-05,0.0,-0.00011714163651406896,1.1661242925369728e-05,0.021525770716191328,0.00011350222307459149,0.00010339499735538202,0.03998150876584877,0.00012231729742100708,1.3450887113717261e-05,0.021243006712999238,9.571313219236544e-05,9.34632458870141e-05,8.507316907986304e-17,-0.00011415728430077645,1.1683427956192346e-05,0.021451794169945186,8.602951557131269e-05,8.564349098886051e-05,0.9600184912341511,0.00011013415715101208,1.1272803083095577e-05,1.0103220647995783
3.002616167068481,0.02174922282595662,9.085915344968915e-05,8.406458444416495e-05,0.02170026487074947,0.00013207939616144415,0.00010574961455718165,1.4962348101987142,0.021566391717751956,7.677575564422542e-05,8.217590695413363e-05,0.2818441516530601,-0.00011714163651406896,1.1661242925369728e-05,0.021792572936911846,9.200841491472864e-05,9.593338519522238e-05,0.0,0.00012231729742100708,1.3450887113717261e-05,0.02157898771473152,9.077158347998993e-05,8.607738995291409e-05,1.45862885165453e-16,-0.00011415728430077645,1.1683427956192346e-05,0.021735941952335264,8.971779521685028e-05,8.445811500454661e-05,0.7181558483469398,0.00011013415715101208,1.1272803083095577e-05,1.100483851721976
3.015860080718994,0.021531553766827298,8.430245724396629e-05,8.957813591543157e-05,0.02153775050027534,8.345672855469832e-05,8.950078494100733e-05,1.029431013067223,0.021309194719411402,8.521831032681434e-05,8.73204310002304e-05,2.2263264768512592e-15,-0.00011714163651406896,1.1661242925369728e-05,0.021618751502549313,9.236399830814951e-05,0.00010394284630607306,0.060292048551347295,0.00012231729742100708,1.3450887113717261e-05,0.021312248011726993,8.942679860486288e-05,8.639968170551238e-05,2.0375150484790972e-15,-0.00011415728430077645,1.1683427956192346e-05,0.02153453956291932,8.153278858501894e-05,8.647994009737536e-05,0.9397079514486484,0.00011013415715101208,1.1272803083095577e-05,1.0349251186086976
3.029047966003418,0.021424965795352895,8.027712330206313e-05,8.960254104330156e-05,0.021404870627589643,0.00017171381342914044,0.00010525360992079749,1.6906519536058473,0.021192013232153025,8.238986371259666e-05,8.14329874420823e-05,0.14096145660699524,-0.00011714163651406896,1.1661242925369728e-05,0.021397732182829095,0.00010112196849079713,9.069086230698714e-05,0.0,0.00012231729742100708,1.3450887113717261e-05,0.02119491538404332,8.587781502111466e-05,8.865528038264417e-05,0.08774221071589472,-0.00011415728430077645,1.1683427956192346e-05,0.02143531240350764,7.946050502210394e-05,8.796748798814424e-05,0.7712963326771101,0.00011013415715101208,1.1272803083095577e-05,1.0369717237125058
3.042182207107544,0.021481013552395293,8.541422217819145e-05,8.429832230192474e-05,0.021487638737180216,8.517609197269613e-05,8.378461557490002e-05,1.0186427139456813,0.0212995004382957,8.226091784819048e-05,8.360755127689856e-05,0.0,-0.00011714163651406896,1.1661242925369728e-05,0.021532956760302334,0.00010634172324266306,9.82408305786539e-05,0.07819314777044016,0.00012231729742100708,1.3450887113717261e-05,0.021307555219303036,9.879822752728237e-05,8.23482228249281e-05,7.371797847137223e-17,-0.00011415728430077645,1.1683427956192346e-05,0.02148464923192471,8.409161583118954e-05,8.447755829049663e-05,0.9218068522295598,0.00011013415715101208,1.1272803083095577e-05,1.0231754436229115
3.055262327194214,0.021643779747982966,9.130763389305144e-05,7.938390742837434e-05,0.02164863337571556,8.998930766586713e-05,8.002896646718341e-05,0.9995514348244591,0.02144479608232394,8.447973320836744e-05,8.628095040064121e-05,0.0,-0.00011714163651406896,1.1661242925369728e-05,0.021686691887180764,0.0001014012136055821,0.00010765556161078035,1.350232687816179e-16,0.00012231729742100708,1.3450887113717261e-05,0.021452086280100858,8.427812539348392e-05,9.196060724336527e-05,0.0,-0.00011415728430077645,1.1683427956192346e-05,0.021649322321217003,9.06784071381013e-05,7.941616549678177e-05,0.9999999999999998,0.00011013415715101208,1.1272803083095577e-05,1.003509628069228
3.068288803100586,0.02149694226603315,8.998565196646421e-05,0.00010026890241463318,0.021504657191506637,9.158119496633504e-05,0.00010050643972384782,1.1673986228088244,0.021287858408845603,8.328956413073546e-05,8.12537469004268e-05,0.0,-0.00011714163651406896,1.1661242925369728e-05,0.0216013045561749,9.519671000979973e-05,0.00010209431043890077,0.09403959418944273,0.00012231729742100708,1.3450887113717261e-05,0.021283965241446386,7.897261691319768e-05,9.574267122901964e-05,0.0,-0.00011415728430077645,1.1683427956192346e-05,0.021494802128806688,8.354405939621154e-05,9.545508803930972e-05,0.9059604058105574,0.00011013415715101208,1.1272803083095577e-05,1.1562582106121941
3.081264019012451,0.021566297877657643,9.095978986469258e-05,8.43821480159962e-05,0.021573100607058956,9.170236727753384e-05,8.369880108829997e-05,1.001575572416836,0.021360221702185763,9.031036161019981e-05,8.618449533043249e-05,0.0,-0.00011714163651406896,1.1661242925369728e-05,0.02153886121725327,0.00010065585843906447,0.00010714663696967039,0.0,0.00012231729742100708,1.3450887113717261e-05,0.021366678540105648,8.891134038820428e-05,8.955508260512224e-05,0.0,-0.00011415728430077645,1.1683427956192346e-05,0.02157254395565792,9.109596226897568e-05,8.402928358999112e-05,1.0,0.00011013415715101208,1.1272803083095577e-05,1.0012373545610693
