time_bjd,time_from_t0_hr,flux,flux_err,bestfit_model,residual,residual_ppm,is_outlier,transit_model,trend_model,detrended_flux
60001.1581322,27.792995746422093,1.0000091611177484,3.367356840966451e-05,1.0000083575500398,8.035677085960202e-07,0.8035677085960202,0,1.0000946304889655,0.9999137352243522,1.0000954341259995
60001.15979886666,27.83299574634293,0.9999724296787619,3.367356840966451e-05,1.0000083428102302,-3.591313146833475e-05,-35.91313146833475,0,1.0000946304889655,0.9999137204859373,1.0000587142586623
60001.16146553333,27.87299574643839,1.0000312962819644,3.367356840966451e-05,1.0000083280704204,2.2968211544016626e-05,22.968211544016626,0,1.0000946304889655,0.9999137057475221,1.0001176006827053
60001.163132199996,27.91299574635923,0.9999681970007692,3.367356840966451e-05,1.0000083133306108,-4.0116329841577425e-05,-40.116329841577425,0,1.0000946304889655,0.9999136910091073,1.0000545106964251
60001.16479886667,27.95299574645469,0.9999638153834718,3.367356840966451e-05,1.000008298590801,-4.448320732919342e-05,-44.48320732919342,0,1.0000946304889655,0.9999136762706922,1.0000501434413485
60001.16646553333,27.992995746375527,1.000000415353721,3.367356840966451e-05,1.0000082838509914,-7.8684972704135e-06,-7.868497270413499,0,1.0000946304889655,0.9999136615322772,1.0000867613122826
60001.1681322,28.032995746470988,1.0000062949228012,3.367356840966451e-05,1.0000082691111816,-1.9741883803270355e-06,-1.9741883803270355,0,1.0000946304889655,0.9999136467938622,1.000092656130093
60001.169798866664,28.072995746391825,1.0000551396423643,3.367356840966451e-05,1.0000082543713718,4.6885270992502726e-05,46.885270992502726,0,1.0000946304889655,0.999913632055447,1.0001415198096923
60001.171465533334,28.112995746487286,0.9999983979921678,3.367356840966451e-05,1.0000082396315622,-9.841639394325696e-06,-9.841639394325696,0,1.0000946304889655,0.9999136173170322,1.0000847879993504
60001.1731322,28.152995746408124,0.9999804115074699,3.367356840966451e-05,1.0000082248917526,-2.7813384282704412e-05,-27.813384282704412,0,1.0000946304889655,0.9999136025786173,1.0000668147014704
60001.17479886667,28.192995746503584,0.9999844621552763,3.367356840966451e-05,1.0000082101519427,-2.3747996666489968e-05,-23.747996666489968,0,1.0000946304889655,0.9999135878402021,1.000070880440006
60001.17646553333,28.23299574642442,1.0000069711239192,3.367356840966451e-05,1.0000081954121331,-1.224288213919067e-06,-1.224288213919067,0,1.0000946304889655,0.9999135731017873,1.000093406094931
60001.178132199995,28.27299574634526,1.000021976256847,3.367356840966451e-05,1.0000081806723233,1.379558452363483e-05,13.79558452363483,0,1.0000946304889655,0.9999135583633721,1.0001084272661052
60001.179798866666,28.31299574644072,1.0000020117541697,3.367356840966451e-05,1.0000081659325137,-6.154178344042194e-06,-6.154178344042194,0,1.0000946304889655,0.9999135436249572,1.0000884757785076
60001.18146553333,28.352995746361557,1.0000467078731323,3.367356840966451e-05,1.0000081511927041,3.855668042818117e-05,38.55668042818117,0,1.0000946304889655,0.9999135288865424,1.0001331905037212
60001.1831322,28.392995746457018,0.9999894486301001,3.367356840966451e-05,1.0000081364528943,-1.8687822794238862e-05,-18.687822794238862,0,1.0000946304889655,0.9999135141481272,1.0000759410497992
60001.18479886666,28.432995746377856,1.0000500117316813,3.367356840966451e-05,1.0000081217130847,4.189001859655761e-05,41.89001859655761,0,1.0000946304889655,0.9999134994097124,1.0001365241313869
60001.186465533334,28.472995746473316,0.9999987749398419,3.367356840966451e-05,1.000008106973275,-9.332033433007147e-06,-9.332033433007147,0,1.0000946304889655,0.9999134846712973,1.0000852976480987
