wavelength,wavelength_err,planet_index,eclipse_depth_ppm,eclipse_depth_ppm_err_low,eclipse_depth_ppm_err_high,sampler_used
5.5,0.23076923076923084,0,70.10839690201786,24.58903439001122,24.378685625173503,independent_nuts
5.961538461538462,0.23076923076923084,0,89.26509010815211,25.178829862246303,26.216548956651152,independent_nuts
6.423076923076923,0.23076923076923084,0,86.6895541623162,25.498349425831933,24.505052625512988,independent_nuts
6.884615384615385,0.23076923076923084,0,103.08758554447377,23.963169034209542,24.31627434471244,independent_nuts
7.346153846153847,0.23076923076923084,0,106.26975867831668,25.405624487308188,24.864355820076227,independent_nuts
7.807692307692308,0.23076923076923084,0,82.66746388166442,24.53639975916196,25.12787120291975,independent_nuts
8.26923076923077,0.23076923076923084,0,106.3191135233498,24.34905583673678,24.45603738248913,independent_nuts
8.73076923076923,0.23076923076923084,0,120.70591215477944,24.841965319632138,23.960599070300304,independent_nuts
9.192307692307693,0.23076923076923084,0,79.58894595823833,25.102853489542476,27.02879954631392,independent_nuts
9.653846153846153,0.23076923076923084,0,103.7602438373917,25.117265019513084,25.3032154003142,independent_nuts
10.115384615384617,0.23076923076923084,0,127.91337216369789,26.666906766627378,26.169984265969873,independent_nuts
10.576923076923077,0.23076923076923084,0,56.919160048461364,24.625124248239935,25.436247926170125,independent_nuts
11.038461538461538,0.23076923076923084,0,85.4816568815944,25.599230370514846,24.986269159385373,independent_nuts
11.5,0.23076923076923084,0,100.90610876174398,25.131968445617105,24.893352140380202,independent_nuts
